BEGIN_YEARMONTH,BEGIN_DAY,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EPISODE_ID,EVENT_ID,STATE,STATE_FIPS,YEAR,MONTH_NAME,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,MAGNITUDE,MAGNITUDE_TYPE,FLOOD_CAUSE,CATEGORY,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,TOR_OTHER_WFO,TOR_OTHER_CZ_STATE,TOR_OTHER_CZ_FIPS,TOR_OTHER_CZ_NAME,BEGIN_RANGE,BEGIN_AZIMUTH,BEGIN_LOCATION,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EPISODE_NARRATIVE,EVENT_NARRATIVE,DATA_SOURCE
197305,26,1515,197305,26,1515,,10069198,NEBRASKA,31,1973,May,Tornado,C,185,YORK,,5/26/1973 15:15,CST,5/26/1973 15:15,0,0,0,0,0K,0,,0,,,,F0,0,33,,,,,0,,,0,,,40.8,-97.7,,,,,PUB
197305,25,1225,197305,25,1225,,9975987,ALABAMA,1,1973,May,Tornado,C,109,PIKE,,5/25/1973 12:25,CST,5/25/1973 12:25,0,0,0,0,25K,0,,0,,,,F1,0,33,,,,,0,,,0,,,31.67,-86.07,,,,,PUB
197305,25,1308,197305,25,1308,,9975988,ALABAMA,1,1973,May,Tornado,C,45,DALE,,5/25/1973 13:08,CST,5/25/1973 13:08,0,0,0,0,25K,0,,0,,,,F1,1,400,,,,,0,,,0,,,31.3,-85.5,,,,,PUB
197312,24,1530,197312,24,1530,,10059078,MISSOURI,29,1973,December,Tornado,C,57,DADE,,12/24/1973 15:30,CST,12/24/1973 15:30,0,0,0,0,25K,0,,0,,,,F0,0.3,33,,,,,0,,,0,,,37.38,-93.95,,,,,PUB
197301,26,1545,197301,26,1545,,9978618,ALABAMA,1,1973,January,Tornado,C,95,MARSHALL,,1/26/1973 15:45,CST,1/26/1973 15:45,0,0,0,0,25K,0,,0,,,,F2,0,33,,,,,0,,,0,,,34.33,-86.07,,,,,PUB
197303,16,730,197303,16,730,,9978624,ALABAMA,1,1973,March,Tornado,C,21,CHILTON,,3/16/1973 7:30,CST,3/16/1973 7:30,0,0,0,0,250K,0,,0,,,,F2,9.7,77,,,,,0,,,0,,,32.7,-86.5,32.8,-86.38,,,PUB
197303,16,1020,197303,16,1020,,9978625,ALABAMA,1,1973,March,Tornado,C,119,SUMTER,,3/16/1973 10:20,CST,3/16/1973 10:20,0,0,0,0,250K,0,,0,,,,F1,1,100,,,,,0,,,0,,,32.67,-88.18,,,,,PUB
197303,16,1030,197303,16,1030,,9978626,ALABAMA,1,1973,March,Tornado,C,65,HALE,,3/16/1973 10:30,CST,3/16/1973 10:30,0,0,0,0,25K,0,,0,,,,F2,4.5,100,,,,,0,,,0,,,32.9,-87.67,32.92,-87.6,,,PUB
197303,16,1100,197303,16,1100,,9978627,ALABAMA,1,1973,March,Tornado,C,65,HALE,,3/16/1973 11:00,CST,3/16/1973 11:00,0,0,0,0,250K,0,,0,,,,F2,9.5,33,,,,,0,,,0,,,32.62,-87.67,32.67,-87.52,,,PUB
197303,16,1210,197303,16,1210,,9978628,ALABAMA,1,1973,March,Tornado,C,117,SHELBY,,3/16/1973 12:10,CST,3/16/1973 12:10,5,0,0,0,250K,0,,0,,,,F2,4.3,33,,,,,0,,,0,,,33.28,-86.82,33.3,-86.75,,,PUB
197303,16,1230,197303,16,1230,,9978629,ALABAMA,1,1973,March,Tornado,C,115,ST. CLAIR,,3/16/1973 12:30,CST,3/16/1973 12:30,0,0,0,0,250K,0,,0,,,,F1,1,33,,,,,0,,,0,,,33.58,-86.28,,,,,PUB
197305,27,1330,197305,27,1330,,9976848,ALABAMA,1,1973,May,Tornado,C,95,MARSHALL,,5/27/1973 13:30,CST,5/27/1973 13:30,3,0,0,0,250K,0,,0,,,,F2,31.5,500,,,,,0,,,0,,,34.3,-86.62,34.58,-86.18,,,PUB
197302,2,230,197302,2,230,,9995695,GEORGIA,13,1973,February,Tornado,C,189,MCDUFFIE,,2/2/1973 2:30,CST,2/2/1973 2:30,0,0,0,0,2.5K,0,,0,,,,F1,1,50,,,,,0,,,0,,,33.5,-82.47,,,,,PUB
197303,13,1320,197303,13,1320,,10022436,KANSAS,20,1973,March,Tornado,C,33,COMANCHE,,3/13/1973 13:20,CST,3/13/1973 13:20,0,0,0,0,25K,0,,0,,,,F2,2.3,40,,,,,0,,,0,,,37.35,-99.33,37.38,-99.3,,,PUB
197311,21,830,197311,21,830,,9993445,GEORGIA,13,1973,November,Tornado,C,257,STEPHENS,,11/21/1973 8:30,CST,11/21/1973 8:30,0,0,0,0,25K,0,,0,,,,F2,0,33,,,,,0,,,0,,,34.57,-83.28,,,,,PUB
197312,13,1000,197312,13,1000,,10123167,TENNESSEE,47,1973,December,Tornado,C,59,GREENE,,12/13/1973 10:00,EDT,12/13/1973 10:00,1,0,0,0,25K,0,,0,,,,F1,0.5,440,,,,,0,,,0,,,36.17,-82.83,,,,,PUB
197308,14,1230,197308,14,1230,,10007306,ILLINOIS,17,1973,August,Tornado,C,183,VERMILION,,8/14/1973 12:30,CST,8/14/1973 12:30,0,0,0,0,25K,0,,0,,,,F2,0,33,,,,,0,,,0,,,40.47,-87.68,,,,,PUB
197305,8,1310,197305,8,1310,,10087064,OHIO,39,1973,May,Tornado,C,49,FRANKLIN,,5/8/1973 13:10,CST,5/8/1973 13:10,0,0,0,0,250K,0,,0,,,,F2,17.3,67,,,,,0,,,0,,,40.1,-83.12,40.25,-82.85,,,PUB
