BEGIN_YEARMONTH,BEGIN_DAY,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EPISODE_ID,EVENT_ID,STATE,STATE_FIPS,YEAR,MONTH_NAME,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,MAGNITUDE,MAGNITUDE_TYPE,FLOOD_CAUSE,CATEGORY,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,TOR_OTHER_WFO,TOR_OTHER_CZ_STATE,TOR_OTHER_CZ_FIPS,TOR_OTHER_CZ_NAME,BEGIN_RANGE,BEGIN_AZIMUTH,BEGIN_LOCATION,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EPISODE_NARRATIVE,EVENT_NARRATIVE,DATA_SOURCE
195109,9,915,195109,9,915,,10047282,MISSISSIPPI,28,1951,September,Tornado,C,87,LOWNDES,,9/9/1951 9:15,CST,9/9/1951 9:15,0,0,0,0,0K,0,,0,,,,F2,0.1,100,,,,,0,,,0,,,33.5,-88.43,,,,,PUB
195106,17,2200,195106,17,2200,,10028729,KANSAS,20,1951,June,Tornado,C,63,GOVE,,6/17/1951 22:00,CST,6/17/1951 22:00,0,0,0,0,0K,0,,0,,,,F0,0.7,33,,,,,0,,,0,,,39.07,-100.23,,,,,PUB
195103,28,510,195103,28,510,,10120421,TEXAS,48,1951,March,Tornado,C,225,HOUSTON,,3/28/1951 5:10,CST,3/28/1951 5:10,0,0,0,0,2.5K,0,,0,,,,F1,0.5,17,,,,,0,,,0,,,31.37,-95.6,,,,,PUB
195105,9,1830,195105,9,1830,,10099717,OKLAHOMA,40,1951,May,Tornado,C,33,COTTON,,5/9/1951 18:30,CST,5/9/1951 18:30,0,0,0,0,2.5K,0,,0,,,,F1,0,33,,,,,0,,,0,,,34.45,-98.32,,,,,PUB
195107,15,1620,195107,15,1620,,10099742,OKLAHOMA,40,1951,July,Tornado,C,73,KINGFISHER,,7/15/1951 16:20,CST,7/15/1951 16:20,0,0,0,0,.25K,0,,0,,,,F2,0,100,,,,,0,,,0,,,34.8,-94.8,,,,,PUB
195105,8,1800,195105,8,1800,,10028691,KANSAS,20,1951,May,Tornado,C,203,WICHITA,,5/8/1951 18:00,CST,5/8/1951 18:00,0,0,0,0,.25K,0,,0,,,,F1,0,33,,,,,0,,,0,,,38.38,-101.55,,,,,PUB
195103,30,1500,195103,30,1500,,10104933,PENNSYLVANIA,42,1951,March,Tornado,C,1,ADAMS,,3/30/1951 15:00,CST,3/30/1951 15:00,0,0,0,0,2.5K,0,,0,,,,F1,0.1,20,,,,,0,,,0,,,39.83,-77.23,,,,,PUB
195105,11,1330,195105,11,1330,,10104934,PENNSYLVANIA,42,1951,May,Tornado,C,111,SOMERSET,,5/11/1951 13:30,CST,5/11/1951 13:30,1,0,0,0,25K,0,,0,,,,F2,8,33,,,,,0,,,0,,,40.12,-79.12,40.05,-78.98,,,PUB
195106,27,2204,195106,27,2204,,10104935,PENNSYLVANIA,42,1951,June,Tornado,C,5,ARMSTRONG,,6/27/1951 22:04,CST,6/27/1951 22:04,0,0,0,0,2.5K,0,,0,,,,F2,19.7,33,,,,,0,,,0,,,40.58,-79.25,40.87,-79.18,,,PUB
195107,21,1100,195107,21,1100,,10104936,PENNSYLVANIA,42,1951,July,Tornado,C,15,BRADFORD,,7/21/1951 11:00,CST,7/21/1951 11:00,0,0,0,0,.25K,0,,0,,,,F0,0.1,33,,,,,0,,,0,,,41.8,-76.47,,,,,PUB
