BEGIN_YEARMONTH,BEGIN_DAY,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EPISODE_ID,EVENT_ID,STATE,STATE_FIPS,YEAR,MONTH_NAME,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,MAGNITUDE,MAGNITUDE_TYPE,FLOOD_CAUSE,CATEGORY,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,TOR_OTHER_WFO,TOR_OTHER_CZ_STATE,TOR_OTHER_CZ_FIPS,TOR_OTHER_CZ_NAME,BEGIN_RANGE,BEGIN_AZIMUTH,BEGIN_LOCATION,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EPISODE_NARRATIVE,EVENT_NARRATIVE,DATA_SOURCE
199305,3,1835,199305,3,1835,,10314042,ALABAMA,1,1993,May,Tornado,C,125,TUSCALOOSA,,5/3/1993 18:35,CST,5/3/1993 18:35,3,0,0,0,0,0,,0,,,,F2,6,50,,,,,0,,,0,,,33.28,-87.28,33.33,-87.32,,"A tornado touched down in the Brookwood community and moved north to the town of Kellerman.  In Brookwood, twenty-five houses, and ten to twelve mobile homes were damaged.  Several homes were destroyed.  The most serious injury was to a woman who tried to run from her airborne mobile home.  Two other people received minor injuries.",CSV
199305,3,1420,199305,3,1420,,10314257,ALABAMA,1,1993,May,Tornado,C,77,LAUDERDALE,,5/3/1993 14:20,CST,5/3/1993 14:20,0,0,0,0,0,0,,0,,,,F0,0.2,10,,,,,0,,,0,,,34.87,-87.53,,,,At 1420CST a tornado moved northeast a short distance through Killen.  Power lines were snapped and trees were blown down.  At 1647CST trees and power lines were blown down two miles east of Florence.  At 1742CST trees and power lines were blown down in Florence.,CSV
199305,3,1735,199305,3,1735,,10314275,ALABAMA,1,1993,May,Tornado,C,89,MADISON,,5/3/1993 17:35,CST,5/3/1993 17:35,0,0,0,0,0,0,,0,,,,F0,0.3,20,,,,,0,,,0,,,34.63,-86.77,,,,At 1735CST a tornado moved north a short distance near the Huntsville airport.  No damage was reported.  At 1741CST dime-size hail fell along the western edge of Huntsville.  At 1905CST dime-size hail fell and trees and power lines were blown down in the western part of the county.  At 2115CST heavy rain caused several streets to be flooded in the same area.,CSV
199308,16,1756,199308,16,1756,,10334926,MONTANA,30,1993,August,Tornado,C,41,HILL,,8/16/1993 17:56,MST,8/16/1993 17:56,0,0,0,0,0,0,,0,,,,F0,0.1,10,,,,,10,NE,Kremlin,0,,,48.68,-109.9,,,,Water flooded over Highway 2.,CSV
199308,13,1615,199308,13,1615,,10334909,MONTANA,30,1993,August,Tornado,C,33,GARFIELD,,8/13/1993 16:15,MST,8/13/1993 16:15,0,0,0,0,0,0,,0,,,,F0,0.1,10,,,,,2,N,Rock Springs,0,,,46.9,-106.25,,,,,CSV
199305,5,1900,199305,5,1900,,10334433,NEBRASKA,31,1993,May,Tornado,C,13,BOX BUTTE,,5/5/1993 19:00,CST,5/5/1993 19:00,0,0,0,0,5K,0,,0,,,,F1,0.5,80,,,,,4,E,Hemingford,0,,,,,,,,A tornado was on the ground for about 30 seconds 3.5 miles east of Hemingford on Highway 87.  The tornado destroyed a 1500 bushel grain bin and moved some farm machinery.,CSV
199308,11,1740,199308,11,1740,,10321626,IOWA,19,1993,August,Tornado,C,71,FREMONT,,8/11/1993 17:40,CST,8/11/1993 17:40,0,0,0,0,.05K,.05K,,0,,,,F0,0.5,10,,,,,2,E,Sidney,0,,,40.75,-95.6,,,,,CSV
199308,11,1800,199308,11,1800,,10321627,IOWA,19,1993,August,Tornado,C,71,FREMONT,,8/11/1993 18:00,CST,8/11/1993 18:00,0,0,0,0,.05K,.05K,,0,,,,F0,0.3,10,,,,,2,W,Shenandoah,0,,,,,,,,,CSV
199303,28,1740,199303,28,1740,,10334215,NEBRASKA,31,1993,March,Tornado,C,65,FURNAS,,3/28/1993 17:40,CST,3/28/1993 17:40,0,0,0,0,0,0,,0,,,,F1,20,10,,,,,10,SW,Beaver,0,,,,,,,,Dime-size hail fell southeast of Beaver City.,CSV
199310,8,1651,199310,8,1706,,10332100,MISSOURI,29,1993,October,Tornado,C,97,JASPER,,10/8/1993 16:51,CST,10/8/1993 17:06,0,0,0,0,5M,0,,0,,,,F2,6,220,,,,,4,N,Joplin to,0,,Carterville,37.15,-94.52,37.15,-94.45,,"A tornado touched down near the Joplin Regional Airport and lifted near Carterville.  The weather observer at the airport first reported a tornado sighting at 1651 CST.  The worst damaged was in Webb City where numerous homes were damaged, one destroyed, and acres of trees were blown down.  One house was lifted off its foundation, turned 60 degrees, and dropped down on the family dog killing it.  Power lines were twisted off as well with other damage to trailered boats and nearby cars.",CSV
199310,8,1703,199310,8,1711,,10332101,MISSOURI,29,1993,October,Tornado,C,97,JASPER,,10/8/1993 17:03,CST,10/8/1993 17:11,0,0,0,0,500K,0,,0,,,,F2,7,200,,,,,0,,,0,,to 1N Oronogo,,,,,,A tornado touched down at the edge of Carl Junction and lifted one mile north of Oronogo.  Numerous power poles and trees were twisted off with one house knocked off its foundation.,CSV
199303,13,30,199303,13,30,,10320155,FLORIDA,12,1993,March,Tornado,C,69,LAKE,,3/13/1993 0:30,EST,3/13/1993 0:30,60,0,1,0,5M,0,,0,,,,F2,30,200,,,,,0,,Mt.  Dora,0,,,,,,,,"A small fast-moving tornado touched down near Howey-in-the-Hills.  It moved northeast over Little Lake Harris and then over Lake Dora before striking Mt. Dora.  It continued northeast exiting the county near Highway 44, three miles east of Forrest City.  A 5-month old baby boy was killed in a mobile home 10 miles northeast of Mt. Dora at 0050 EST.  The mobile home was completely destroyed and two adults in it were seriously injured.  In all 13 homes were completely destroyed, 80 suffered major damage and 266 reported minor damage.  (M00M)",CSV
199301,8,1130,199301,8,1130,,10319337,FLORIDA,12,1993,January,Tornado,C,125,UNION,,1/8/1993 11:30,EST,1/8/1993 11:30,0,0,0,0,3,0,,0,,,,F0,0.1,10,,,,,24,N,Gainesville,0,,,30.05,-82.32,,,,A small tornado touched down at the North Florida Prison Reception Center damaging the building before dissipating.,CSV
199305,7,1715,199305,7,1715,,10346340,SOUTH DAKOTA,46,1993,May,Tornado,C,87,MCCOOK,,5/7/1993 17:15,CST,5/7/1993 17:15,0,0,0,0,500K,0,,0,,,,F2,1,75,,,,,0,,northwest of,0,,Bridgewater,43.58,-97.55,,,,"A tornado touched down on several farms destroying two pole barns, a grain bin, and a barn roof.",CSV
199305,7,1720,199305,7,1730,,10346341,SOUTH DAKOTA,46,1993,May,Tornado,C,87,MCCOOK,,5/7/1993 17:20,CST,5/7/1993 17:30,0,0,0,0,5M,0,,0,,,,F3,10,100,,,,,0,,Canistota to,0,,Montrose,43.6,-97.3,43.7,-97.18,,"A tornado caused extensive damage in the Canistota area.  Four metal grain storage bins were severely damaged and the roof was blown off the grain elevator.  A large roof was blown off a building in Canistota resulting in rain seeping through the floors of the building.  The roof blew into another building causing damage, and the flying debris took out power lines and transformers.  The storm nearly totaled a farm including the house, and destroyed barns on other farms.  Buildings were damaged in Montrose and a farm and metal buildings were lost on a farm east of Montrose.",CSV
