BEGIN_YEARMONTH,BEGIN_DAY,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EPISODE_ID,EVENT_ID,STATE,STATE_FIPS,YEAR,MONTH_NAME,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,MAGNITUDE,MAGNITUDE_TYPE,FLOOD_CAUSE,CATEGORY,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,TOR_OTHER_WFO,TOR_OTHER_CZ_STATE,TOR_OTHER_CZ_FIPS,TOR_OTHER_CZ_NAME,BEGIN_RANGE,BEGIN_AZIMUTH,BEGIN_LOCATION,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EPISODE_NARRATIVE,EVENT_NARRATIVE,DATA_SOURCE
198011,23,1430,198011,23,1430,,9975992,ALABAMA,1,1980,November,Tornado,C,3,BALDWIN,,11/23/1980 14:30,CST,11/23/1980 14:30,0,0,0,0,25K,0,,0,,,,F0,0,33,,,,,0,,,0,,,30.28,-87.68,,,,,PUB
198004,7,2150,198004,7,2150,,10058526,MISSOURI,29,1980,April,Tornado,C,71,FRANKLIN,,4/7/1980 21:50,CST,4/7/1980 21:50,0,0,0,0,250K,0,,0,,,,F2,6.5,30,,,,,0,,,0,,,38.4,-91.32,38.47,-91.23,,,PUB
198005,15,1950,198005,15,1950,,9977768,ALABAMA,1,1980,May,Tornado,C,97,MOBILE,,5/15/1980 19:50,CST,5/15/1980 19:50,0,0,0,0,2.5K,0,,0,,,,F0,0.1,10,,,,,0,,,0,,,30.4,-88.23,,,,,PUB
198005,17,245,198005,17,245,,9977774,ALABAMA,1,1980,May,Tornado,C,3,BALDWIN,,5/17/1980 2:45,CST,5/17/1980 2:45,0,0,0,0,25K,0,,0,,,,F1,4.6,23,,,,,0,,,0,,,31.07,-87.87,31.13,-87.87,,,PUB
198005,17,745,198005,17,745,,9977775,ALABAMA,1,1980,May,Tornado,C,3,BALDWIN,,5/17/1980 7:45,CST,5/17/1980 7:45,0,0,0,0,25K,0,,0,,,,F1,9.9,40,,,,,0,,,0,,,30.28,-87.68,30.37,-87.55,,,PUB
198004,13,958,198004,13,958,,9977749,ALABAMA,1,1980,April,Tornado,C,97,MOBILE,,4/13/1980 9:58,CST,4/13/1980 9:58,0,0,0,0,25K,0,,0,,,,F1,0.1,50,,,,,0,,,0,,,30.88,-88.27,,,,,PUB
198004,13,1008,198004,13,1008,,9977750,ALABAMA,1,1980,April,Tornado,C,97,MOBILE,,4/13/1980 10:08,CST,4/13/1980 10:08,0,0,0,0,.25K,0,,0,,,,F1,0.1,17,,,,,0,,,0,,,31.07,-88.03,,,,,PUB
198004,13,1015,198004,13,1015,,9977751,ALABAMA,1,1980,April,Tornado,C,97,MOBILE,,4/13/1980 10:15,CST,4/13/1980 10:15,0,0,0,0,2.5K,0,,0,,,,F1,0.3,20,,,,,0,,,0,,,30.68,-88.2,,,,,PUB
198004,13,1200,198004,13,1200,,9977752,ALABAMA,1,1980,April,Tornado,C,3,BALDWIN,,4/13/1980 12:00,CST,4/13/1980 12:00,0,0,0,0,25K,0,,0,,,,F2,0.1,50,,,,,0,,,0,,,30.88,-87.78,,,,,PUB
198004,13,1208,198004,13,1208,,9977753,ALABAMA,1,1980,April,Tornado,C,97,MOBILE,,4/13/1980 12:08,CST,4/13/1980 12:08,0,0,0,0,25K,0,,0,,,,F1,0.1,30,,,,,0,,,0,,,30.7,-88.08,,,,,PUB
198004,13,1430,198004,13,1430,,9977756,ALABAMA,1,1980,April,Tornado,C,81,LEE,,4/13/1980 14:30,CST,4/13/1980 14:30,13,0,0,0,2.5M,0,,0,,,,F2,11.3,440,,,,,0,,,0,,,32.6,-85.45,32.68,-85.28,,,PUB
198004,25,2145,198004,25,2145,,9977760,ALABAMA,1,1980,April,Tornado,C,73,JEFFERSON,,4/25/1980 21:45,CST,4/25/1980 21:45,0,0,0,0,250K,0,,0,,,,F2,6.2,100,,,,,0,,,0,,,33.33,-86.95,33.42,-86.92,,,PUB
