BEGIN_YEARMONTH,BEGIN_DAY,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EPISODE_ID,EVENT_ID,STATE,STATE_FIPS,YEAR,MONTH_NAME,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,MAGNITUDE,MAGNITUDE_TYPE,FLOOD_CAUSE,CATEGORY,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,TOR_OTHER_WFO,TOR_OTHER_CZ_STATE,TOR_OTHER_CZ_FIPS,TOR_OTHER_CZ_NAME,BEGIN_RANGE,BEGIN_AZIMUTH,BEGIN_LOCATION,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EPISODE_NARRATIVE,EVENT_NARRATIVE,DATA_SOURCE
196007,22,1525,196007,22,1525,,10071180,MONTANA,30,1960,July,Tornado,C,49,LEWIS AND CLARK,,7/22/1960 15:25,CST,7/22/1960 15:25,0,0,0,0,0K,0,,0,,,,F0,1,10,,,,,0,,,0,,,46.6,-112,,,,,PUB
196005,5,1550,196005,5,1550,,10093963,OKLAHOMA,40,1960,May,Tornado,C,27,CLEVELAND,,5/5/1960 15:50,CST,5/5/1960 15:50,0,0,0,0,250K,0,,0,,,,F3,10.4,400,,,,,0,,,0,,,35.12,-97.05,35.25,-96.97,,,PUB
196003,30,1700,196003,30,1700,,10116581,SOUTH CAROLINA,45,1960,March,Tornado,C,59,LAURENS,,3/30/1960 17:00,CST,3/30/1960 17:00,0,0,0,0,25K,0,,0,,,,F2,9.8,50,,,,,0,,,0,,,34.42,-82,34.45,-81.83,,,PUB
196005,17,1815,196005,17,1815,,10119101,TEXAS,48,1960,May,Tornado,C,189,HALE,,5/17/1960 18:15,CST,5/17/1960 18:15,0,0,0,0,2.5K,0,,0,,,,F0,0.6,17,,,,,0,,,0,,,34.18,-101.72,,,,,PUB
196006,5,17,196006,5,17,,10010959,ILLINOIS,17,1960,June,Tornado,C,113,MCLEAN,,6/5/1960 0:17,CST,6/5/1960 0:17,0,0,0,0,25K,0,,0,,,,F2,9.6,33,,,,,0,,,0,,,40.35,-88.52,40.32,-88.33,,,PUB
196004,16,2130,196004,16,2130,,10009854,ILLINOIS,17,1960,April,Tornado,C,197,WILL,,4/16/1960 21:30,CST,4/16/1960 21:30,0,0,0,0,2.5K,0,,0,,,,,0,33,,,,,0,,,0,,,41.6,-88.22,,,,,PUB
196007,29,1615,196007,29,1615,,10027923,KANSAS,20,1960,July,Tornado,C,15,BUTLER,,7/29/1960 16:15,CST,7/29/1960 16:15,0,0,0,0,.25K,0,,0,,,,F0,0,33,,,,,0,,,0,,,37.55,-96.77,,,,,PUB
196002,9,1445,196002,9,1445,,10092800,OKLAHOMA,40,1960,February,Tornado,C,115,OTTAWA,,2/9/1960 14:45,CST,2/9/1960 14:45,0,0,0,0,.25K,0,,0,,,,F1,8.2,200,,,,,0,,,0,,,36.9,-94.87,36.95,-94.73,,,PUB
196002,9,1545,196002,9,1545,,10092801,OKLAHOMA,40,1960,February,Tornado,C,35,CRAIG,,2/9/1960 15:45,CST,2/9/1960 15:45,0,0,0,0,2.5K,0,,0,,,,F1,0.3,10,,,,,0,,,0,,,36.93,-95.17,,,,,PUB
196004,26,30,196004,26,30,,10122166,TEXAS,48,1960,April,Tornado,C,355,NUECES,,4/26/1960 0:30,CST,4/26/1960 0:30,0,0,0,0,2.5K,0,,0,,,,F1,0.3,17,,,,,0,,,0,,,27.78,-97.42,,,,,PUB
196001,14,600,196001,14,600,,10092798,OKLAHOMA,40,1960,January,Tornado,C,123,PONTOTOC,,1/14/1960 6:00,CST,1/14/1960 6:00,0,0,0,0,2.5K,0,,0,,,,F2,0,33,,,,,0,,,0,,,34.7,-96.8,,,,,PUB
196008,29,1600,196008,29,1600,,10043707,MAINE,23,1960,August,Tornado,C,3,AROOSTOOK,,8/29/1960 16:00,CST,8/29/1960 16:00,0,0,0,0,25K,0,,0,,,,F1,9.7,100,,,,,0,,,0,,,46.87,-68.02,46.92,-67.82,,,PUB
196009,30,1730,196009,30,1730,,10078350,NEW MEXICO,35,1960,September,Tornado,C,49,SANTA FE,,9/30/1960 17:30,CST,9/30/1960 17:30,0,0,0,0,0K,0,,0,,,,F0,0,33,,,,,0,,,0,,,35.2,-106,,,,,PUB
196005,3,1400,196005,3,1400,,10122191,TEXAS,48,1960,May,Tornado,C,285,LAVACA,,5/3/1960 14:00,CST,5/3/1960 14:00,0,0,0,0,2.5K,0,,0,,,,F1,0.2,17,,,,,0,,,0,,,29.6,-96.95,,,,,PUB
196004,12,1730,196004,12,1730,,10122148,TEXAS,48,1960,April,Tornado,C,369,PARMER,,4/12/1960 17:30,CST,4/12/1960 17:30,3,0,0,0,2.5K,0,,0,,,,F2,1,67,,,,,0,,,0,,,34.63,-102.72,,,,,PUB
196004,12,2000,196004,12,2000,,10122149,TEXAS,48,1960,April,Tornado,C,17,BAILEY,,4/12/1960 20:00,CST,4/12/1960 20:00,0,0,0,0,2.5K,0,,0,,,,F1,1,33,,,,,0,,,0,,,34.32,-102.73,,,,,PUB
196004,12,2000,196004,12,2000,,10122150,TEXAS,48,1960,April,Tornado,C,69,CASTRO,,4/12/1960 20:00,CST,4/12/1960 20:00,32,0,3,0,250K,0,,0,,,,F3,5.2,100,,,,,0,,,0,,,34.35,-102.3,34.4,-102.23,,,PUB
