BEGIN_DAY,BEGIN_TIME,END_DAY,END_TIME,STATE,YEAR,MONTH_NAME,CZ_TYPE,CZ_NAME,CZ_TIMEZONE,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,LAT,LON,END_LAT,END_LON
5,1800,5,1800,PENNSYLVANIA,1950,July,C,LEHIGH,CST,2,0,0,0,25K,0,2,12.9,33,40.58,-75.7,40.65,-75.47
29,1600,29,1600,PENNSYLVANIA,1950,August,C,BUCKS,CST,0,0,0,0,2.5K,0,1,1,33,40.22,-75,,
4,1700,4,1700,PENNSYLVANIA,1950,November,C,LANCASTER,CST,1,0,0,0,250K,0,3,4.7,100,40.2,-76.12,40.27,-76.07
4,1730,4,1730,PENNSYLVANIA,1950,November,C,BERKS,CST,0,0,0,0,250K,0,3,11.2,100,40.27,-76.07,40.4,-75.93
15,1745,15,1745,OKLAHOMA,1950,September,C,HUGHES,CST,6,0,0,0,250K,0,2,6.8,100,35,-96.25,35.07,-96.17
16,130,16,130,OKLAHOMA,1950,September,C,PITTSBURG,CST,0,0,0,0,.25K,0,0,0,33,34.83,-95.85,,
27,300,27,300,OKLAHOMA,1950,March,C,PITTSBURG,CST,0,0,0,0,2.5K,0,2,0.1,77,34.85,-95.75,,
2,1800,2,1800,OKLAHOMA,1950,April,C,LINCOLN,CST,0,0,0,0,25K,0,2,1,100,35.82,-97.02,,
3,1615,3,1615,OKLAHOMA,1950,April,C,TULSA,CST,0,0,0,0,2.5K,0,1,1,33,36.13,-95.83,,
28,1905,28,1905,OKLAHOMA,1950,April,C,HUGHES,CST,32,0,5,0,250K,0,4,4.5,200,35.08,-96.4,35.13,-96.35
4,2130,4,2130,OKLAHOMA,1950,May,C,CUSTER,CST,0,0,0,0,2.5K,0,1,0,33,35.58,-99.17,,
27,800,27,800,MISSISSIPPI,1950,March,C,RANKIN,CST,0,0,0,0,250K,0,2,50.3,50,32.3,-90.12,32.98,-89.82
26,1800,26,1800,TEXAS,1950,January,C,BROOKS,CST,2,0,0,0,0K,0,2,4.7,133,26.88,-98.12,26.88,-98.05
11,1350,11,1350,TEXAS,1950,February,C,HARRIS,CST,12,0,1,0,25K,0,3,12,1000,29.67,-95.05,29.83,-95
11,2100,11,2100,TEXAS,1950,February,C,SMITH,CST,5,0,0,0,250K,0,2,4.6,100,32.35,-95.2,32.42,-95.2
12,610,12,610,TEXAS,1950,February,C,LIMESTONE,CST,0,0,0,0,25K,0,2,3.4,100,31.52,-96.55,31.57,-96.55
12,1157,12,1157,TEXAS,1950,February,C,SHELBY,CST,32,0,0,0,250K,0,1,7.7,100,31.8,-94.2,31.88,-94.12
12,1200,12,1200,TEXAS,1950,February,C,SHELBY,CST,15,0,3,0,250K,0,3,1.9,50,31.8,-94.2,31.8,-94.18
11,1700,11,1700,NEW MEXICO,1950,July,C,QUAY,CST,0,0,0,0,.25K,0,1,3.8,500,35.28,-103.52,35.33,-103.48
2,1230,2,1230,NEW MEXICO,1950,August,C,SOCORRO,CST,0,0,0,0,25K,0,1,7.9,100,34.12,-107.23,34.02,-107.3
3,100,3,100,MISSISSIPPI,1950,June,C,ATTALA,CST,1,0,2,0,0K,0,3,2,50,33.08,-89.58,,
12,1230,12,1230,ARKANSAS,1950,February,C,GRANT,CST,0,0,0,0,2.5K,0,2,0,100,34.48,-92.4,,
12,1500,12,1500,ARKANSAS,1950,February,C,UNION,CST,0,0,0,0,25K,0,2,5.7,100,33.27,-92.95,33.35,-92.95
26,1930,26,1930,ARKANSAS,1950,March,C,CLARK,CST,3,0,0,0,25K,0,2,4.1,150,34.12,-93.07,34.17,-93.03
9,1300,9,1300,MISSOURI,1950,June,C,PULASKI,CST,0,0,0,0,2.5K,0,1,2.7,220,38,-92.22,38.02,-92.17
19,1600,19,1600,MISSOURI,1950,July,C,MORGAN,CST,0,0,0,0,.25K,0,1,1.5,440,38.42,-92.77,,
27,500,27,500,MISSISSIPPI,1950,March,C,HUMPHREYS,CST,2,0,1,0,0K,0,2,0,33,33.17,-90.55,,
27,730,27,730,MISSISSIPPI,1950,March,C,ATTALA,CST,0,0,0,0,0K,0,2,11.9,33,33.13,-89.57,33.25,-89.42
27,745,27,745,MISSISSIPPI,1950,March,C,HINDS,CST,7,0,0,0,250K,0,2,9,50,32.28,-90.27,32.3,-90.12
27,745,27,745,MISSISSIPPI,1950,March,C,HINDS,CST,6,0,0,0,250K,0,2,6.2,50,32.28,-90.27,32.3,-90.17
9,2020,9,2020,OKLAHOMA,1950,May,C,PONTOTOC,CST,0,0,0,0,25K,0,1,0.8,200,34.77,-96.83,,
11,1830,11,1830,OKLAHOMA,1950,May,C,BEAVER,CST,0,0,0,0,.25K,0,1,0.5,77,36.82,-100.52,,
16,1930,16,1930,OKLAHOMA,1950,May,C,DEWEY,CST,1,0,0,0,2.5K,0,1,7.3,100,35.82,-99.12,35.87,-99
22,1239,22,1239,OKLAHOMA,1950,May,C,CUSTER,CST,0,0,0,0,0K,0,1,1.5,100,35.67,-99.23,,
24,2130,24,2130,OKLAHOMA,1950,May,C,WOODWARD,CST,2,0,0,0,25K,0,2,1,33,36.45,-99.03,,
29,1448,29,1448,OKLAHOMA,1950,May,C,MAYES,CST,0,0,0,0,.25K,0,1,1,33,36.38,-95.27,,
12,1200,12,1200,MISSISSIPPI,1950,February,C,UNION,CST,0,0,0,0,0K,0,1,2,33,34.6,-89.12,,
12,1200,12,1200,MISSISSIPPI,1950,February,C,UNION,CST,2,0,3,0,25K,0,2,0,33,34.6,-89.12,,
15,1730,15,1730,NEBRASKA,1950,July,C,BURT,CST,33,0,0,0,2.5M,0,4,10,440,41.8,-96.6,41.73,-96.42
21,1730,21,1730,NEBRASKA,1950,September,C,LANCASTER,CST,0,0,0,0,2.5K,0,1,22.5,67,40.72,-96.82,40.72,-96.38
12,1700,12,1700,NORTH CAROLINA,1950,May,C,WAKE,CST,0,0,0,0,0K,0,0,1,200,35.73,-78.4,,
12,1700,12,1700,NORTH CAROLINA,1950,May,C,WAKE,CST,0,0,0,0,0K,0,1,1,200,35.73,-78.4,,
14,1700,14,1700,NORTH CAROLINA,1950,May,C,MONTGOMERY,CST,0,0,0,0,2.5K,0,1,3.8,50,35.3,-79.8,35.33,-79.75
14,1730,14,1730,NORTH CAROLINA,1950,May,C,UNION,CST,5,0,0,0,0K,0,2,2,33,35,-80.68,,
31,1530,31,1530,NORTH CAROLINA,1950,May,C,PITT,CST,0,0,0,0,2.5K,0,1,0,33,35.42,-77.25,,
26,1530,26,1530,NORTH CAROLINA,1950,July,C,PITT,CST,0,0,0,0,0K,0,1,0,33,35.53,-77.4,,
27,1620,27,1620,NORTH CAROLINA,1950,July,C,CABARRUS,CST,0,0,0,0,2.5K,0,1,0,33,35.4,-80.57,,
2,1530,2,1530,ARKANSAS,1950,April,C,JACKSON,CST,8,0,1,0,2.5K,0,3,2.5,33,35.75,-91.22,,
18,145,18,145,ALABAMA,1950,April,C,BALDWIN,CST,0,0,0,0,2.5K,0,2,2,150,30.7,-87.92,,
26,1930,26,1930,ARKANSAS,1950,March,C,HOT SPRING,CST,0,0,0,0,25K,0,2,13.3,150,34.17,-93.03,34.32,-92.88
26,2115,26,2115,ARKANSAS,1950,March,C,PRAIRIE,CST,20,0,0,0,250K,0,3,14.9,1760,34.98,-91.73,35.08,-91.5
26,2330,26,2330,ARKANSAS,1950,March,C,WOODRUFF,CST,2,0,0,0,0K,0,2,5.4,833,35.1,-91.4,35.15,-91.33
20,220,20,220,KENTUCKY,1950,November,C,MUHLENBERG,CST,0,0,0,0,250K,0,2,0,33,37.37,-87.2,,
20,400,20,400,KENTUCKY,1950,November,C,SCOTT,CST,0,0,0,0,250K,0,1,0,33,38.2,-84.5,,
26,1931,26,1931,ARKANSAS,1950,March,C,IZARD,CST,1,0,0,0,250K,0,3,5.7,200,36.15,-91.83,36.2,-91.75
26,2030,26,2030,ARKANSAS,1950,March,C,PULASKI,CST,7,0,0,0,250K,0,2,10.4,600,34.7,-92.35,34.8,-92.22
15,1100,15,1100,FLORIDA,1950,May,C,ORANGE,CST,0,0,0,0,25K,0,1,0,33,28.58,-81.37,,
15,1100,15,1100,FLORIDA,1950,May,C,ORANGE,CST,0,0,0,0,25K,0,2,0,33,28.5,-81.37,,
2,1625,2,1625,ARKANSAS,1950,December,C,IZARD,CST,0,0,0,0,.03K,0,3,7.8,33,36.12,-91.83,36.18,-91.72
11,1700,11,1700,MARYLAND,1950,August,C,KENT,CST,0,0,0,0,2.5K,0,1,6,33,39.33,-75.87,,
15,1642,15,1642,MINNESOTA,1950,June,C,WILKIN,CST,4,0,0,0,2.5K,0,2,4.6,67,46.58,-96.33,46.52,-96.33
8,100,8,100,MISSOURI,1950,August,C,GREENE,CST,0,0,0,0,.25K,0,1,2,10,37.13,-93.38,,
8,430,8,430,SOUTH DAKOTA,1950,May,C,HUTCHINSON,CST,0,0,0,0,2.5K,0,1,1,33,43.38,-97.97,,
1,2000,1,2000,IOWA,1950,July,C,BUCHANAN,CST,0,0,0,0,0K,0,2,14,33,42.45,-91.92,,
12,1300,12,1300,LOUISIANA,1950,February,C,DE SOTO,CST,0,0,0,0,250K,0,4,29.8,100,31.97,-94,32.35,-93.77
12,1430,12,1430,LOUISIANA,1950,February,C,NATCHITOCHES,CST,0,0,0,0,250K,0,3,16.5,100,31.83,-93.47,32,-93.27
12,1500,12,1500,LOUISIANA,1950,February,C,NATCHITOCHES,CST,0,0,0,0,250K,0,3,13.3,100,32,-93.27,32.18,-93.2
12,1500,12,1500,LOUISIANA,1950,February,C,WEBSTER,CST,0,0,0,0,250K,0,4,13.1,100,32.85,-93.43,33,-93.3
19,1315,19,1315,LOUISIANA,1950,March,C,JEFFERSON,CST,0,0,0,0,25K,0,0,18.1,27,29.7,-90.1,29.67,-89.8
28,1700,28,1700,KANSAS,1950,April,C,COFFEY,CST,0,0,0,0,25K,0,1,19.8,33,38.12,-95.85,38.35,-95.63
4,2310,4,2310,KANSAS,1950,May,C,BARTON,CST,0,0,0,0,250K,0,4,19.3,150,38.03,-99.12,38.27,-98.92
8,1830,8,1830,KANSAS,1950,May,C,MITCHELL,CST,0,0,0,0,250K,0,2,12.6,660,39.35,-98.48,39.47,-98.3
14,1700,14,1700,NORTH DAKOTA,1950,June,C,DIVIDE,CST,0,0,0,0,25K,0,3,23.7,33,48.92,-103.77,48.78,-103.28
25,1630,25,1630,TEXAS,1950,May,C,DAWSON,CST,0,0,0,0,2.5K,0,1,3,880,32.67,-101.88,32.65,-101.85
29,1700,29,1700,TEXAS,1950,May,C,DENTON,CST,0,0,0,0,0K,0,1,3.4,267,33.35,-96.92,33.3,-96.92
19,1430,19,1430,INDIANA,1950,July,C,FOUNTAIN,CST,0,0,0,0,25K,0,1,4.3,200,40.22,-87.15,40.18,-87.07
19,1745,19,1745,INDIANA,1950,July,C,ALLEN,CST,0,0,0,0,0K,0,2,1.1,100,41.07,-85.08,41.08,-85.08
5,1730,5,1730,COLORADO,1950,August,C,SEDGWICK,CST,1,0,0,0,25K,0,2,0,33,40.73,-102.55,40.72,-102.52
5,1735,5,1735,COLORADO,1950,August,C,SEDGWICK,CST,0,0,0,0,25K,0,2,0,33,40.7,-102.5,40.68,-102.47
27,1600,27,1600,SOUTH CAROLINA,1950,April,C,BERKELEY,CST,0,0,0,0,25K,0,1,0.7,37,33.07,-80,,
11,1310,11,1310,TEXAS,1950,February,C,BRAZORIA,CST,0,0,0,0,25K,0,2,9.9,400,29.42,-95.25,29.52,-95.13
8,1930,8,1930,KANSAS,1950,May,C,OSBORNE,CST,2,0,0,0,25K,0,2,19.6,440,39.23,-98.95,39.23,-98.58
9,1655,9,1655,WEST VIRGINIA,1950,August,C,WOOD,CST,0,0,0,0,0K,0,1,5,33,39.28,-81.38,,
18,130,18,130,ALABAMA,1950,April,C,MOBILE,CST,15,0,0,0,25K,0,3,14,100,30.67,-88.2,30.85,-88.1
10,1300,10,1300,WYOMING,1950,May,C,UINTA,CST,0,0,0,0,.03K,0,2,2,33,41.18,-110.42,,
7,1530,7,1530,WYOMING,1950,June,C,NIOBRARA,CST,0,0,0,0,.03K,0,1,0.2,10,43.08,-104.5,,
14,1600,14,1600,WYOMING,1950,June,C,WESTON,CST,0,0,0,0,.03K,0,1,0.2,10,44.13,-104.18,,
25,1930,25,1930,MISSOURI,1950,January,C,IRON,CST,5,0,0,0,250K,0,2,2.3,300,37.6,-90.68,37.63,-90.65
8,2117,8,2117,KANSAS,1950,May,C,CLOUD,CST,1,0,0,0,25K,0,1,0,33,39.4,-97.65,,
30,1400,30,1400,GEORGIA,1950,May,C,WHITFIELD,CST,0,0,0,0,2.5K,0,1,0.5,7,34.75,-84.92,,
4,800,4,800,GEORGIA,1950,June,C,DE KALB,CST,1,0,0,0,25K,0,1,3.3,7,33.85,-84.25,33.85,-84.2
7,1730,7,1730,GEORGIA,1950,June,C,LAMAR,CST,0,0,0,0,2.5K,0,1,2,300,33.03,-84.15,,
6,1800,6,1800,KANSAS,1950,August,C,FINNEY,CST,0,0,0,0,2.5K,0,2,0,33,37.97,-100.77,,
16,1800,16,1800,KANSAS,1950,May,C,KINGMAN,CST,0,0,0,0,2.5K,0,2,0.2,200,37.55,-98.42,,
18,1900,18,1900,KANSAS,1950,May,C,JEWELL,CST,0,0,0,0,2.5K,0,0,0,33,39.85,-98.3,,
18,1900,18,1900,KANSAS,1950,May,C,CHASE,CST,2,0,0,0,250K,0,3,14.9,100,38.12,-96.82,38.33,-96.82
19,130,19,130,KANSAS,1950,May,C,BUTLER,CST,0,0,0,0,2.5K,0,0,0.1,33,37.82,-96.85,,
23,1800,23,1800,KANSAS,1950,May,C,PHILLIPS,CST,0,0,0,0,25K,0,0,0.2,250,39.75,-99.32,,
24,1330,24,1330,KANSAS,1950,May,C,COMANCHE,CST,1,0,0,0,2.5K,0,2,3.6,77,37.27,-99.48,37.28,-99.42
8,2015,8,2015,KANSAS,1950,June,C,MCPHERSON,CST,5,0,1,0,250K,0,4,17.1,700,38.33,-97.92,38.33,-97.6
25,2030,25,2030,WISCONSIN,1950,June,C,PRICE,CST,0,0,0,0,250K,0,2,8.4,33,45.57,-90.3,45.57,-90.12
25,2100,25,2100,WISCONSIN,1950,June,C,CLARK,CST,0,0,1,0,25K,0,2,5.1,17,44.83,-90.35,44.92,-90.32
25,2100,25,2100,WISCONSIN,1950,June,C,ONEIDA,CST,12,0,2,0,250K,0,4,13.1,880,45.58,-89.58,45.67,-89.33
3,1110,3,1110,ILLINOIS,1950,January,C,MADISON,CST,0,0,0,0,250K,0,3,3.3,100,38.82,-90.1,38.83,-90.03
3,1155,3,1155,ILLINOIS,1950,January,C,MONTGOMERY,CST,3,0,0,0,250K,0,3,3.6,130,39.1,-89.3,39.12,-89.23
25,2100,25,2100,ILLINOIS,1950,January,C,KANKAKEE,CST,0,0,0,0,250K,0,2,0,100,41.17,-87.33,,
27,1630,27,1630,ILLINOIS,1950,March,C,MCLEAN,CST,0,0,0,0,2.5K,0,2,3,50,40.57,-88.6,40.6,-88.55
16,1530,16,1530,KANSAS,1950,June,C,WICHITA,CST,0,0,0,0,25K,0,1,29.9,33,38.28,-101.28,38.7,-101.13
25,1845,25,1845,KANSAS,1950,June,C,SEDGWICK,CST,0,0,0,0,2.5K,0,0,0.1,33,37.77,-97.47,,
1,1200,1,1200,KANSAS,1950,July,C,DICKINSON,CST,0,0,0,0,25K,0,2,0,33,38.7,-97.08,,
27,600,27,600,LOUISIANA,1950,March,C,EAST CARROLL,CST,2,0,0,0,25K,0,1,15.3,17,32.63,-91.28,32.73,-91.05
27,830,27,830,LOUISIANA,1950,March,C,EAST FELICIANA,CST,0,0,0,0,25K,0,1,0.5,27,30.92,-91.13,,
24,745,24,745,LOUISIANA,1950,April,C,ASCENSION,CST,0,0,0,0,25K,0,1,2,100,30.1,-90.03,,
1,1130,1,1130,LOUISIANA,1950,May,C,LA SALLE,CST,0,0,0,0,25K,0,0,1,100,31.75,-92.25,,
1,1130,1,1130,LOUISIANA,1950,May,C,CONCORDIA,CST,2,0,0,0,25K,0,1,1,100,31.38,-91.73,,
2,200,2,200,LOUISIANA,1950,May,C,WINN,CST,1,0,0,0,250K,0,1,27.6,150,31.72,-92.83,32,-92.5
2,300,2,300,LOUISIANA,1950,May,C,CATAHOULA,CST,5,0,1,0,250K,0,2,2,100,31.55,-91.97,,
29,2300,29,2300,LOUISIANA,1950,May,C,DE SOTO,CST,13,0,0,0,25K,0,1,1,27,32.1,-93.9,,
29,2300,29,2300,LOUISIANA,1950,May,C,SABINE,CST,0,0,0,0,25K,0,1,1,27,31.67,-93.7,,
18,1630,18,1630,KANSAS,1950,July,C,ALLEN,CST,0,0,0,0,0K,0,1,0,33,37.68,-95.52,,
6,1500,6,1500,KANSAS,1950,August,C,RAWLINS,CST,0,0,0,0,25K,0,1,0,33,39.93,-101,,
16,2215,16,2215,ILLINOIS,1950,July,C,LIVINGSTON,CST,0,0,0,0,25K,0,1,1,33,41.08,-88.43,,
2,1500,2,1500,ILLINOIS,1950,December,C,MADISON,CST,0,0,0,0,25K,0,2,7.3,50,38.97,-90.05,39,-89.92
2,1730,2,1730,ILLINOIS,1950,December,C,RANDOLPH,CST,0,0,0,0,25K,0,1,9.6,50,38.17,-89.78,38.22,-89.62
28,510,28,510,TEXAS,1951,March,C,HOUSTON,CST,0,0,0,0,2.5K,0,1,0.5,17,31.37,-95.6,,
8,1800,8,1800,KANSAS,1951,May,C,WICHITA,CST,0,0,0,0,.25K,0,1,0,33,38.38,-101.55,,
30,1500,30,1500,PENNSYLVANIA,1951,March,C,ADAMS,CST,0,0,0,0,2.5K,0,1,0.1,20,39.83,-77.23,,
11,1330,11,1330,PENNSYLVANIA,1951,May,C,SOMERSET,CST,1,0,0,0,25K,0,2,8,33,40.12,-79.12,40.05,-78.98
27,2204,27,2204,PENNSYLVANIA,1951,June,C,ARMSTRONG,CST,0,0,0,0,2.5K,0,2,19.7,33,40.58,-79.25,40.87,-79.18
21,1100,21,1100,PENNSYLVANIA,1951,July,C,BRADFORD,CST,0,0,0,0,.25K,0,0,0.1,33,41.8,-76.47,,
1,1800,1,1800,MICHIGAN,1951,June,C,EATON,CST,1,0,0,0,2.5K,0,1,0.5,10,42.75,-84.75,,
26,1800,26,1800,MICHIGAN,1951,June,C,MIDLAND,CST,0,0,0,0,25K,0,1,0,33,43.67,-84.33,,
18,1730,18,1730,OKLAHOMA,1951,May,C,COMANCHE,CST,0,0,0,0,2.5K,0,1,0,33,34.78,-98.23,,
19,2012,19,2012,OKLAHOMA,1951,May,C,BECKHAM,CST,0,0,0,0,0K,0,0,0,220,35.43,-99.63,,
6,2130,6,2130,OKLAHOMA,1951,June,C,GREER,CST,0,0,0,0,.25K,0,0,0.2,33,34.83,-99.47,,
8,1914,8,1914,OKLAHOMA,1951,June,C,KAY,CST,0,0,0,0,25K,0,1,0.3,200,36.67,-97.33,,
15,1620,15,1620,OKLAHOMA,1951,July,C,KINGFISHER,CST,0,0,0,0,0K,0,0,0,100,34.8,-94.8,,
27,1530,27,1530,OKLAHOMA,1951,July,C,ELLIS,CST,0,0,0,0,2.5K,0,1,0,33,36.13,-99.8,,
10,1357,10,1357,OKLAHOMA,1951,August,C,LOGAN,CST,2,0,0,0,25K,0,1,5.9,200,35.8,-97.2,35.88,-97.17
2,15,2,15,TEXAS,1951,July,C,LAMB,CST,0,0,0,0,250K,0,2,1,20,34.18,-102.12,,
10,1530,10,1530,NEW MEXICO,1951,August,C,UNION,CST,0,0,0,0,.03K,0,0,12.2,30,36.67,-103.95,36.78,-103.78
5,1530,5,1530,NEW MEXICO,1951,June,C,CHAVES,CST,0,0,0,0,250K,0,0,2,33,33.1,-104.8,,
6,2040,6,2040,TEXAS,1951,June,C,GRAY,CST,0,0,0,0,2.5K,0,0,0,33,35.55,-100.97,,
6,2050,6,2050,TEXAS,1951,June,C,CHILDRESS,CST,0,0,0,0,250K,0,2,3.6,1760,34.43,-100.2,34.43,-100.13
19,1835,19,1835,OKLAHOMA,1951,February,C,CANADIAN,CST,0,0,0,0,25K,0,2,36.3,20,35.37,-98.13,35.83,-97.83
19,2200,19,2200,OKLAHOMA,1951,February,C,CLEVELAND,CST,0,0,0,0,.25K,0,0,0,100,35.15,-97.45,,
5,1320,5,1320,OKLAHOMA,1951,April,C,CLEVELAND,CST,0,0,0,0,25K,0,2,5.7,127,35.32,-97.55,35.37,-97.47
5,1322,5,1322,OKLAHOMA,1951,April,C,GRADY,CST,2,0,0,0,250K,0,2,0.2,100,35.23,-97.72,,
24,1730,24,1730,OKLAHOMA,1951,April,C,CUSTER,CST,0,0,0,0,0K,0,0,0,33,35.78,-99,,
24,2100,24,2100,OKLAHOMA,1951,April,C,KAY,CST,0,0,0,0,2.5K,0,1,0,33,36.75,-97.4,,
26,1915,26,1915,OKLAHOMA,1951,April,C,BEAVER,CST,0,0,0,0,.25K,0,1,0,33,36.82,-100.53,,
27,1420,27,1420,OKLAHOMA,1951,April,C,MAJOR,CST,2,0,0,0,2.5K,0,1,0.8,200,36.33,-98.2,,
30,2030,30,2030,OKLAHOMA,1951,April,C,STEPHENS,CST,0,0,0,0,2.5K,0,1,0,33,34.62,-98.08,,
30,2130,30,2130,OKLAHOMA,1951,April,C,OKLAHOMA,CST,0,0,0,0,25K,0,2,1.5,200,35.5,-97.58,,
30,2130,30,2130,OKLAHOMA,1951,April,C,OKLAHOMA,CST,0,0,0,0,250K,0,3,7.4,200,35.43,-97.58,35.5,-97.48
9,2020,9,2020,OKLAHOMA,1951,May,C,BRYAN,CST,0,0,0,0,25K,0,2,9.4,100,34,-96.6,34.12,-96.52
9,2020,9,2020,OKLAHOMA,1951,May,C,JOHNSTON,CST,1,0,0,0,25K,0,2,5.4,100,34.12,-96.52,34.18,-96.47
14,1800,14,1800,OKLAHOMA,1951,May,C,TEXAS,CST,0,0,0,0,2.5K,0,2,0,33,36.9,-101.9,,
14,1800,14,1800,OKLAHOMA,1951,May,C,TEXAS,CST,0,0,0,0,0K,0,2,0,33,36.87,-101.9,,
16,1000,16,1000,OKLAHOMA,1951,May,C,BECKHAM,CST,0,0,0,0,0K,0,0,0,33,35.2,-99.87,,
18,1730,18,1730,OKLAHOMA,1951,May,C,COMANCHE,CST,0,0,0,0,2.5K,0,1,0,33,34.78,-98.27,,
30,900,30,900,NEBRASKA,1951,April,C,MERRICK,CST,0,0,0,0,2.5K,0,1,0.3,50,41.08,-98,,
25,1530,25,1530,NEBRASKA,1951,June,C,CHEYENNE,CST,1,0,0,0,0K,0,2,10.4,57,41.1,-103.05,41.22,-102.92
7,1730,7,1730,NEBRASKA,1951,July,C,PERKINS,CST,0,0,0,0,25K,0,0,5.1,33,40.85,-101.55,40.88,-101.45
20,915,20,915,ARKANSAS,1951,February,C,PRAIRIE,CST,0,0,0,0,25K,0,2,92.6,333,34.73,-91.7,35.55,-90.4
23,300,23,300,ARKANSAS,1951,October,C,YELL,CST,4,0,0,0,0K,0,2,0,33,35,-93.5,,
21,1630,21,1630,CONNECTICUT,1951,August,C,MIDDLESEX,CST,8,0,0,0,250K,0,3,0,33,41.58,-72.5,,
11,1025,11,1025,CALIFORNIA,1951,January,C,SANTA CLARA,CST,0,0,0,0,2.5M,0,2,5.7,33,37.37,-122.12,37.42,-122.03
20,1530,20,1530,CONNECTICUT,1951,August,C,TOLLAND,CST,0,0,0,0,25K,0,2,0,50,41.87,-72.25,,
21,1615,21,1615,CONNECTICUT,1951,August,C,LITCHFIELD,CST,9,0,0,0,250K,0,2,43.9,100,41.62,-73.42,41.8,-72.6
20,1500,20,1500,MISSISSIPPI,1951,February,C,LOWNDES,CST,0,0,0,0,2.5K,0,1,0,33,33.47,-88.48,,
20,1500,20,1500,MISSISSIPPI,1951,February,C,OKTIBBEHA,CST,1,0,1,0,2.5K,0,3,0,33,33.45,-88.87,,
21,1940,21,1940,MISSISSIPPI,1951,April,C,JASPER,CST,6,0,0,0,25K,0,3,24.7,33,31.8,-89.2,32.15,-89.12
12,1700,12,1700,FLORIDA,1951,March,C,SARASOTA,CST,0,0,0,0,25K,0,2,2,77,27.1,-82.48,,
26,930,26,930,FLORIDA,1951,May,C,FRANKLIN,CST,0,0,3,0,250K,0,1,0,33,29.85,-84.68,,
22,1520,22,1520,FLORIDA,1951,July,C,HILLSBOROUGH,CST,0,0,0,0,2.5K,0,2,0,33,27.73,-82.43,,
4,1125,4,1125,FLORIDA,1951,December,C,POLK,CST,0,0,0,0,2.5K,0,1,0,27,28.12,-82.03,,
18,1330,18,1330,FLORIDA,1951,December,C,DUVAL,CST,0,0,0,0,2.5K,0,1,0.5,33,30.35,-81.75,,
18,1745,18,1745,FLORIDA,1951,December,C,POLK,CST,0,0,0,0,25K,0,2,0,150,27.75,-81.8,,
21,1400,21,1400,MASSACHUSETTS,1951,August,C,ESSEX,CST,0,0,0,0,2.5K,0,2,9.3,100,42.7,-71.13,42.77,-70.97
18,1700,18,1700,MASSACHUSETTS,1951,December,C,DUKES,CST,0,0,0,0,0K,0,2,0,33,41.37,-70.53,,
9,1700,9,1700,NORTH CAROLINA,1951,June,C,FRANKLIN,CST,0,0,0,0,25K,0,1,3.8,30,36,-78.33,36.03,-78.28
13,1530,13,1530,NORTH CAROLINA,1951,June,C,PENDER,CST,0,0,0,0,25K,0,1,1,20,34.4,-77.53,,
6,1100,6,1100,NORTH CAROLINA,1951,July,C,BRUNSWICK,CST,0,0,0,0,25K,0,1,0,33,33.92,-78.23,,
9,1100,9,1100,NORTH CAROLINA,1951,August,C,CATAWBA,CST,0,0,0,0,25K,0,2,0.5,100,35.75,-81.33,,
20,1600,20,1600,ALABAMA,1951,February,C,FAYETTE,CST,2,0,0,0,25K,0,2,0.1,123,33.67,-87.7,,
15,1400,15,1400,MICHIGAN,1951,August,C,LAPEER,CST,0,0,0,0,25K,0,1,0.2,300,43.18,-83.22,,
20,1800,20,1800,KENTUCKY,1951,February,C,SHELBY,CST,0,0,0,0,25K,0,2,0,73,38.27,-85.05,,
16,100,16,100,ALABAMA,1951,November,C,BLOUNT,CST,1,0,0,0,2.5K,0,2,1.5,33,34.08,-86.52,,
21,1400,21,1400,NEW HAMPSHIRE,1951,August,C,ROCKINGHAM,CST,0,0,0,0,2.5K,0,2,4.9,67,42.83,-71.13,42.9,-71.07
19,1730,19,1730,MINNESOTA,1951,June,C,MCLEOD,CST,11,0,0,0,2.5M,0,4,52.6,330,44.88,-94.37,45.2,-93.38
25,2100,25,2100,MISSOURI,1951,May,C,NODAWAY,CST,0,0,0,0,2.5K,0,1,0.2,10,40.4,-95.17,,
13,1330,13,1330,MISSOURI,1951,November,C,NEW MADRID,CST,1,0,0,0,25K,0,3,1,27,36.62,-89.75,,
17,1745,17,1745,IOWA,1951,July,C,O'BRIEN,CST,2,0,0,0,0K,0,1,0,33,43.18,-95.87,,
1,2115,1,2115,IOWA,1951,June,C,MARSHALL,CST,7,0,0,0,0K,0,3,1.5,880,42.07,-92.92,,
22,1530,22,1530,OHIO,1951,June,C,CUYAHOGA,CST,0,0,0,0,2.5M,0,2,1,100,41.42,-81.85,,
27,600,27,600,OHIO,1951,June,C,BUTLER,CST,0,0,0,0,2.5M,0,1,4.7,33,39.5,-84.58,39.53,-84.5
21,2200,21,2200,MICHIGAN,1951,July,C,WASHTENAW,CST,0,0,0,0,25K,0,2,0.5,217,42.15,-83.55,,
21,2300,21,2300,KANSAS,1951,June,C,RUSH,CST,0,0,0,0,0K,0,2,0,33,38.53,-99.32,,
20,1510,20,1510,TEXAS,1951,April,C,WICHITA,CST,0,0,0,0,25K,0,2,1.5,17,33.92,-98.45,,
