BEGIN_YEARMONTH,BEGIN_DAY,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EPISODE_ID,EVENT_ID,STATE,STATE_FIPS,YEAR,MONTH_NAME,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,MAGNITUDE,MAGNITUDE_TYPE,FLOOD_CAUSE,CATEGORY,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,TOR_OTHER_WFO,TOR_OTHER_CZ_STATE,TOR_OTHER_CZ_FIPS,TOR_OTHER_CZ_NAME,BEGIN_RANGE,BEGIN_AZIMUTH,BEGIN_LOCATION,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EPISODE_NARRATIVE,EVENT_NARRATIVE,DATA_SOURCE
197705,1,2000,197705,1,2000,,9987488,COLORADO,8,1977,May,Tornado,C,99,PROWERS,,5/1/1977 20:00,CST,5/1/1977 20:00,0,0,0,0,0K,0,,0,,,,F1,0.1,80,,,,,0,,,0,,,38.08,-102.53,,,,,PUB
197705,1,2000,197705,1,2000,,9987489,COLORADO,8,1977,May,Tornado,C,99,PROWERS,,5/1/1977 20:00,CST,5/1/1977 20:00,0,0,0,0,0K,0,,0,,,,F1,0.1,80,,,,,0,,,0,,,38.08,-102.53,,,,,PUB
197705,18,1320,197705,18,1320,,9987497,COLORADO,8,1977,May,Tornado,C,9,BACA,,5/18/1977 13:20,CST,5/18/1977 13:20,0,0,0,0,2.5M,0,,0,,,,F4,9.3,440,,,,,0,,,0,,,37,-102.1,37.13,-102.07,,,PUB
197705,30,10,197705,30,10,,9987506,COLORADO,8,1977,May,Tornado,C,17,CHEYENNE,,5/30/1977 0:10,CST,5/30/1977 0:10,0,0,0,0,0K,0,,0,,,,F1,0.1,80,,,,,0,,,0,,,38.82,-102.78,,,,,PUB
197705,30,55,197705,30,55,,9987507,COLORADO,8,1977,May,Tornado,C,17,CHEYENNE,,5/30/1977 0:55,CST,5/30/1977 0:55,0,0,0,0,0K,0,,0,,,,F1,0.1,80,,,,,0,,,0,,,38.78,-102.07,,,,,PUB
197709,6,1005,197709,6,1005,,9977618,ALABAMA,1,1977,September,Tornado,C,131,WILCOX,,9/6/1977 10:05,CST,9/6/1977 10:05,0,0,0,0,2.5K,0,,0,,,,F1,0.1,20,,,,,0,,,0,,,32,-87.33,,,,,PUB
197709,6,1400,197709,6,1400,,9977619,ALABAMA,1,1977,September,Tornado,C,125,TUSCALOOSA,,9/6/1977 14:00,CST,9/6/1977 14:00,0,0,0,0,25K,0,,0,,,,F2,8.3,100,,,,,0,,,0,,,33.33,-87.57,33.25,-87.47,,,PUB
197709,6,1505,197709,6,1505,,9977620,ALABAMA,1,1977,September,Tornado,C,125,TUSCALOOSA,,9/6/1977 15:05,CST,9/6/1977 15:05,0,0,0,0,25K,0,,0,,,,F1,0.2,77,,,,,0,,,0,,,33.52,-87.47,,,,,PUB
197710,25,700,197710,25,700,,9977629,ALABAMA,1,1977,October,Tornado,C,3,BALDWIN,,10/25/1977 7:00,CST,10/25/1977 7:00,0,0,0,0,25K,0,,0,,,,F1,16.2,100,,,,,0,,,0,,,30.4,-87.72,30.63,-87.73,,,PUB
197711,30,240,197711,30,240,,9977631,ALABAMA,1,1977,November,Tornado,C,97,MOBILE,,11/30/1977 2:40,CST,11/30/1977 2:40,0,0,0,0,250K,0,,0,,,,F1,0.2,33,,,,,0,,,0,,,30.73,-88.08,,,,,PUB
197706,16,1545,197706,16,1545,,9977567,ALABAMA,1,1977,June,Tornado,C,97,MOBILE,,6/16/1977 15:45,CST,6/16/1977 15:45,0,0,0,0,2.5K,0,,0,,,,F2,0,77,,,,,0,,,0,,,30.82,-88.07,,,,,PUB
197706,22,1945,197706,22,1945,,9977574,ALABAMA,1,1977,June,Tornado,C,55,ETOWAH,,6/22/1977 19:45,CST,6/22/1977 19:45,0,0,0,0,250K,0,,0,,,,F2,1.2,77,,,,,0,,,0,,,34.08,-85.93,,,,,PUB
197707,8,1615,197707,8,1615,,9977590,ALABAMA,1,1977,July,Tornado,C,73,JEFFERSON,,7/8/1977 16:15,CST,7/8/1977 16:15,0,0,0,0,250K,0,,0,,,,F2,0.5,100,,,,,0,,,0,,,33.82,-86.82,,,,,PUB
