BEGIN_YEARMONTH,BEGIN_DAY,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EPISODE_ID,EVENT_ID,STATE,STATE_FIPS,YEAR,MONTH_NAME,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,MAGNITUDE,MAGNITUDE_TYPE,FLOOD_CAUSE,CATEGORY,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,TOR_OTHER_WFO,TOR_OTHER_CZ_STATE,TOR_OTHER_CZ_FIPS,TOR_OTHER_CZ_NAME,BEGIN_RANGE,BEGIN_AZIMUTH,BEGIN_LOCATION,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EPISODE_NARRATIVE,EVENT_NARRATIVE,DATA_SOURCE
199505,9,1005,199505,9,1008,,10313846,ALABAMA,1,1995,May,Tornado,C,97,MOBILE,,5/9/1995 10:05,CST,5/9/1995 10:08,0,0,0,0,2K,0,,0,,,,F0,0.1,50,,,,,7,NW,Mobile,0,,,,,,,,A tornado was observed to touch down near the intersection of McCrary and Stone roads in the Semmes community.  Three mobile homes were damaged.   Trees were reported down near Lott and Dairy roads which is around the same area as the tornado touched down.,CSV
199505,10,40,199505,10,40,,10313847,ALABAMA,1,1995,May,Tornado,C,97,MOBILE,,5/10/1995 0:40,CST,5/10/1995 0:40,0,0,0,0,0,0,,0,,,,F0,0.1,50,,,,,2,N,Grand Bay,0,,,30.5,-88.35,,,,A tornado was reported near the eleven mile marker two miles north of Grand Bay.  No damage was reported from the tornado.,CSV
199507,4,2012,199507,4,2012,,10314250,ALABAMA,1,1995,July,Tornado,C,75,LAMAR,,7/4/1995 20:12,CST,7/4/1995 20:12,0,0,0,0,0,0,,0,,,,F0,0.5,80,,,,,6,E,Detroit,0,,,34.03,-88.17,,,,A tornado was reported at Henson Springs in northern Lamar County.  The tornado occurred in the open with no damage reported.,CSV
199504,11,1015,199504,11,1015,,10314454,ALABAMA,1,1995,April,Tornado,C,51,ELMORE,,4/11/1995 10:15,CST,4/11/1995 10:15,0,0,0,0,25K,0,,0,,,,F1,4,100,,,,,3,WSW,Elmore,0,,,32.52,-86.37,32.53,-86.3,,"What appeared to be a small tornado damaged a section of Elmore County from Millbrook to Elmore in the western part of the county.  The area affected paralleled Highway 14.  Aluminum skirting was ripped off about 20 mobile homes at one mobile home park, and numerous trees and power lines were downed in the area.",CSV
199503,7,1710,199503,7,1710,,10314063,ALABAMA,1,1995,March,Tornado,C,103,MORGAN,,3/7/1995 17:10,CST,3/7/1995 17:10,0,0,0,0,50K,0,,0,,,,F0,1,80,,,,,0,,Lacey's Springs,0,,,34.53,-86.6,,,,"Thunderstorm winds blew the roof off one house and damaged a barn at Eva.  What was believed to be a small tornado touched down on Highway 36 just west of Lacey's Springs damaging a house, a barn, and a shed as well as downing numerous trees and power lines.  Near Cotaco, thunderstorm winds downed trees and damaged one house.",CSV
199502,4,830,199502,4,830,,10314268,FLORIDA,12,1995,February,Tornado,C,21,COLLIER,,2/4/1995 8:30,EST,2/4/1995 8:30,0,0,0,0,0,0,,0,,,,F0,0,0,,,,,0,,SW Collier,45,SSE,FMY,,,,,,A waterspout moved ashore from the Gulf of Mexico northwest of Jolly Bridge at State Route 951 and Marco Island Road.  The tornado damaged some trees.,CSV
199505,18,1803,199505,18,1803,,10314306,ALABAMA,1,1995,May,Tornado,C,77,LAUDERDALE,,5/18/1995 18:03,CST,5/18/1995 18:03,0,0,0,0,.2M,0,,0,,,,F1,1.5,120,,,,,14,NE,Florence,0,,,,,,,,"Funnel clouds were reported with a storm that moved from the northern portion of Florence northeastward to the area of the Green Hill community about 14 miles northeast of Florence.  Just south of the Green Hill community, a small tornado damaged about 10 houses in the vicinity of County Road 47 and United States 43.  Ten houses were damaged including several homes that lost roofs or portions of roofs and several barns were destroyed.  Numerous trees and power lines were down.",CSV
199504,20,1903,199504,20,1903,,10314281,ALABAMA,1,1995,April,Tornado,C,75,LAMAR,,4/20/1995 19:03,CST,4/20/1995 19:03,6,0,0,0,.65M,0,,0,,,,F1,4,80,,,,,6,SW,Vernon,0,,,,,,,,"A tornado began about six miles southwest of Vernon just north of the location where County 9 crosses the Yellow Creek.  The tornado moved north directly toward Vernon, but lifted about two miles southwest of the center of town.",CSV
199504,23,1930,199504,23,1930,,10314523,ALABAMA,1,1995,April,Tornado,C,53,ESCAMBIA,,4/23/1995 19:30,CST,4/23/1995 19:30,0,0,0,0,0,0,,0,,,,F0,0.1,30,,,,,0,,Atmore,0,,,31.03,-87.5,,,,A roaring sound was heard and a tornado briefly touched down along Interstate 65 near exit 57.  No damage was found.  Marble-size hail was also observed.  The length and width of the tornado were estimated.,CSV
199503,7,1503,199503,7,1503,,10314105,ALABAMA,1,1995,March,Tornado,C,125,TUSCALOOSA,,3/7/1995 15:03,CST,3/7/1995 15:03,0,0,0,0,56K,0,,0,,,,F0,2,80,,,,,0,,Samantha,0,,,,,,,,"Numerous trees were downed, one mobile home was destroyed, six homes sustained roof damage, and two barns were totally destroyed by what was believed to be a small tornado.",CSV
