BEGIN_YEARMONTH,BEGIN_DAY,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EPISODE_ID,EVENT_ID,STATE,STATE_FIPS,YEAR,MONTH_NAME,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,MAGNITUDE,MAGNITUDE_TYPE,FLOOD_CAUSE,CATEGORY,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,TOR_OTHER_WFO,TOR_OTHER_CZ_STATE,TOR_OTHER_CZ_FIPS,TOR_OTHER_CZ_NAME,BEGIN_RANGE,BEGIN_AZIMUTH,BEGIN_LOCATION,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EPISODE_NARRATIVE,EVENT_NARRATIVE,DATA_SOURCE
195505,28,800,195505,28,800,,10039446,MICHIGAN,26,1955,May,Tornado,C,77,KALAMAZOO,,5/28/1955 8:00,CST,5/28/1955 8:00,0,0,0,0,250K,0,,0,,,,F2,36.2,100,,,,,0,,,0,,,42.12,-85.63,42.42,-85.05,,,PUB
195510,16,800,195510,16,800,,9976781,ALABAMA,1,1955,October,Tornado,C,45,DALE,,10/16/1955 8:00,CST,10/16/1955 8:00,0,0,0,0,2.5K,0,,0,,,,,16,100,,,,,0,,,0,,,31.33,-85.8,31.45,-85.57,,,PUB
195510,16,1815,195510,16,1815,,9976783,ALABAMA,1,1955,October,Tornado,C,31,COFFEE,,10/16/1955 18:15,CST,10/16/1955 18:15,0,0,0,0,25K,0,,0,,,,F1,14,167,,,,,0,,,0,,,31.35,-86.02,31.32,-85.78,,,PUB
195510,16,1840,195510,16,1840,,9976784,ALABAMA,1,1955,October,Tornado,C,31,COFFEE,,10/16/1955 18:40,CST,10/16/1955 18:40,0,0,0,0,2.5M,0,,0,,,,F2,1.9,100,,,,,0,,,0,,,31.32,-85.83,31.32,-85.8,,,PUB
195510,16,1840,195510,16,1840,,9976785,ALABAMA,1,1955,October,Tornado,C,45,DALE,,10/16/1955 18:40,CST,10/16/1955 18:40,5,0,0,0,2.5M,0,,0,,,,F2,14.5,100,,,,,0,,,0,,,31.32,-85.8,31.42,-85.58,,,PUB
195504,27,1900,195504,27,1900,,10053152,MINNESOTA,27,1955,April,Tornado,C,105,NOBLES,,4/27/1955 19:00,CST,4/27/1955 19:00,0,0,0,0,.25K,0,,0,,,,F1,0,33,,,,,0,,,0,,,43.62,-95.6,,,,,PUB
195509,16,1430,195509,16,1430,,10053185,MINNESOTA,27,1955,September,Tornado,C,95,MILLE LACS,,9/16/1955 14:30,CST,9/16/1955 14:30,0,0,1,0,250K,0,,0,,,,F1,0,33,,,,,0,,,0,,,45.77,-93.55,45.78,-93.52,,,PUB
195511,16,220,195511,16,220,,10010871,ILLINOIS,17,1955,November,Tornado,C,181,UNION,,11/16/1955 2:20,CST,11/16/1955 2:20,0,0,0,0,250K,0,,0,,,,F2,4.5,150,,,,,0,,,0,,,37.43,-89.27,37.45,-89.18,,,PUB
195505,30,1330,195505,30,1330,,10075756,NORTH CAROLINA,37,1955,May,Tornado,C,133,ONSLOW,,5/30/1955 13:30,CST,5/30/1955 13:30,0,0,0,0,2.5K,0,,0,,,,F1,0,27,,,,,0,,,0,,,34.75,-77.42,,,,,PUB
195506,27,1400,195506,27,1400,,10162830,WYOMING,56,1955,June,Tornado,C,31,PLATTE,,6/27/1955 14:00,CST,6/27/1955 14:00,3,0,0,0,2.5K,0,,0,,,,F3,2,100,,,,,0,,,0,,,41.88,-105.02,,,,,PUB
195503,1,1,195503,1,1,,10083327,OHIO,39,1955,March,Tornado,C,109,MIAMI,,3/1/1955 0:01,CST,3/1/1955 0:01,1,0,0,0,250K,0,,0,,,,F1,0.5,100,,,,,0,,,0,,,40.03,-84.22,,,,,PUB
195503,1,152,195503,1,152,,10083328,OHIO,39,1955,March,Tornado,C,99,MAHONING,,3/1/1955 1:52,CST,3/1/1955 1:52,6,0,1,0,250K,0,,0,,,,F3,2.5,40,,,,,0,,,0,,,41.27,-80.67,,,,,PUB
195503,11,425,195503,11,425,,10083331,OHIO,39,1955,March,Tornado,C,29,COLUMBIANA,,3/11/1955 4:25,CST,3/11/1955 4:25,0,0,0,0,250K,0,,0,,,,F2,1,100,,,,,0,,,0,,,40.88,-80.83,,,,,PUB
195503,11,431,195503,11,431,,10083332,OHIO,39,1955,March,Tornado,C,157,TUSCARAWAS,,3/11/1955 4:31,CST,3/11/1955 4:31,1,0,0,0,250K,0,,0,,,,F2,3.3,200,,,,,0,,,0,,,40.28,-81.62,40.28,-81.53,,,PUB
195503,22,800,195503,22,800,,10083340,OHIO,39,1955,March,Tornado,C,99,MAHONING,,3/22/1955 8:00,CST,3/22/1955 8:00,3,0,0,0,0K,0,,0,,,,F1,5.1,400,,,,,0,,,0,,,40.95,-80.68,41.02,-80.62,,,PUB
195504,12,200,195504,12,200,,10098701,OKLAHOMA,40,1955,April,Tornado,C,117,PAWNEE,,4/12/1955 2:00,CST,4/12/1955 2:00,0,0,0,0,0K,0,,0,,,,F0,45.6,33,,,,,0,,,0,,,36.35,-96.8,36.82,-96.22,,,PUB
195504,12,230,195504,12,230,,10098702,OKLAHOMA,40,1955,April,Tornado,C,127,PUSHMATAHA,,4/12/1955 2:30,CST,4/12/1955 2:30,0,0,0,0,0K,0,,0,,,,F2,6.1,33,,,,,0,,,0,,,34.23,-95.62,34.3,-95.55,,,PUB
195504,22,1900,195504,22,1900,,10098706,OKLAHOMA,40,1955,April,Tornado,C,137,STEPHENS,,4/22/1955 19:00,CST,4/22/1955 19:00,2,0,0,0,2.5K,0,,0,,,,F1,0,33,,,,,0,,,0,,,34.5,-97.93,,,,,PUB
195504,22,2230,195504,22,2230,,10098709,OKLAHOMA,40,1955,April,Tornado,C,103,NOBLE,,4/22/1955 22:30,CST,4/22/1955 22:30,0,0,0,0,.25K,0,,0,,,,F2,0,33,,,,,0,,,0,,,36.43,-97.3,,,,,PUB
195504,11,2130,195504,11,2130,,10098698,OKLAHOMA,40,1955,April,Tornado,C,137,STEPHENS,,4/11/1955 21:30,CST,4/11/1955 21:30,0,0,0,0,2.5K,0,,0,,,,F0,2,33,,,,,0,,,0,,,34.37,-97.92,,,,,PUB
195504,11,2130,195504,11,2130,,10098699,OKLAHOMA,40,1955,April,Tornado,C,137,STEPHENS,,4/11/1955 21:30,CST,4/11/1955 21:30,0,0,0,0,2.5K,0,,0,,,,F0,15,33,,,,,0,,,0,,,34,-97.87,,,,,PUB
195507,6,1530,195507,6,1530,,10073334,MONTANA,30,1955,July,Tornado,C,111,YELLOWSTONE,,7/6/1955 15:30,CST,7/6/1955 15:30,0,0,0,0,25K,0,,0,,,,,2,50,,,,,0,,,0,,,45.88,-108.3,,,,,PUB
195507,6,1730,195507,6,1730,,10073335,MONTANA,30,1955,July,Tornado,C,103,TREASURE,,7/6/1955 17:30,CST,7/6/1955 17:30,0,0,0,0,2.5K,0,,0,,,,F1,2,73,,,,,0,,,0,,,46.23,-107.27,,,,,PUB
195507,6,2115,195507,6,2115,,10073337,MONTANA,30,1955,July,Tornado,C,79,PRAIRIE,,7/6/1955 21:15,CST,7/6/1955 21:15,0,0,0,0,25K,0,,0,,,,F1,0,1000,,,,,0,,,0,,,46.77,-105.32,,,,,PUB
195507,8,210,195507,8,210,,10069377,NEBRASKA,31,1955,July,Tornado,C,163,SHERMAN,,7/8/1955 2:10,CST,7/8/1955 2:10,13,0,1,0,250K,0,,0,,,,F2,24,33,,,,,0,,,0,,,41.28,-99.2,41.28,-98.73,,,PUB
195507,8,235,195507,8,235,,10069378,NEBRASKA,31,1955,July,Tornado,C,93,HOWARD,,7/8/1955 2:35,CST,7/8/1955 2:35,0,0,0,0,250K,0,,0,,,,F2,7.2,33,,,,,0,,,0,,,41.28,-98.73,41.28,-98.58,,,PUB
195507,9,2200,195507,9,2200,,10069380,NEBRASKA,31,1955,July,Tornado,C,143,POLK,,7/9/1955 22:00,CST,7/9/1955 22:00,0,0,0,0,25K,0,,0,,,,F1,0,33,,,,,0,,,0,,,41.07,-97.8,,,,,PUB
195507,9,2230,195507,9,2230,,10069381,NEBRASKA,31,1955,July,Tornado,C,13,BOX BUTTE,,7/9/1955 22:30,CST,7/9/1955 22:30,0,0,0,0,2.5K,0,,0,,,,F0,0,33,,,,,0,,,0,,,42.37,-102.85,,,,,PUB
195507,9,2300,195507,9,2300,,10069382,NEBRASKA,31,1955,July,Tornado,C,79,HALL,,7/9/1955 23:00,CST,7/9/1955 23:00,0,0,0,0,2.5K,0,,0,,,,F1,5.6,33,,,,,0,,,0,,,40.93,-98.55,40.93,-98.43,,,PUB
195507,12,20,195507,12,20,,10069383,NEBRASKA,31,1955,July,Tornado,C,47,DAWSON,,7/12/1955 0:20,CST,7/12/1955 0:20,0,0,0,0,2.5K,0,,0,,,,F1,0,250,,,,,0,,,0,,,41.02,-99.63,,,,,PUB
195507,12,1300,195507,12,1300,,10069384,NEBRASKA,31,1955,July,Tornado,C,17,BROWN,,7/12/1955 13:00,CST,7/12/1955 13:00,0,0,0,0,.25K,0,,0,,,,F1,0,33,,,,,0,,,0,,,42.48,-99.87,,,,,PUB
195506,27,1645,195506,27,1645,,10069367,NEBRASKA,31,1955,June,Tornado,C,157,SCOTTS BLUFF,,6/27/1955 16:45,CST,6/27/1955 16:45,29,0,2,0,250K,0,,0,,,,F4,26,33,,,,,0,,,0,,,41.93,-103.8,41.78,-103.33,,,PUB
195506,27,1700,195506,27,1700,,10069368,NEBRASKA,31,1955,June,Tornado,C,123,MORRILL,,6/27/1955 17:00,CST,6/27/1955 17:00,0,0,0,0,2.5K,0,,0,,,,F4,0,33,,,,,0,,,0,,,41.78,-103.33,41.77,-103.32,,,PUB
