BEGIN_YEARMONTH,BEGIN_DAY,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EPISODE_ID,EVENT_ID,STATE,STATE_FIPS,YEAR,MONTH_NAME,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,MAGNITUDE,MAGNITUDE_TYPE,FLOOD_CAUSE,CATEGORY,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,TOR_OTHER_WFO,TOR_OTHER_CZ_STATE,TOR_OTHER_CZ_FIPS,TOR_OTHER_CZ_NAME,BEGIN_RANGE,BEGIN_AZIMUTH,BEGIN_LOCATION,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EPISODE_NARRATIVE,EVENT_NARRATIVE,DATA_SOURCE
195806,24,1726,195806,24,1726,,10003533,INDIANA,18,1958,June,Tornado,C,141,ST. JOSEPH,,6/24/1958 17:26,CST,6/24/1958 17:26,0,0,0,0,25K,0,,0,,,,F2,7.3,33,,,,,0,,,0,,,41.75,-86.12,41.75,-85.97,,,PUB
195809,23,1705,195809,23,1705,,10093595,OKLAHOMA,40,1958,September,Tornado,C,57,HARMON,,9/23/1958 17:05,CST,9/23/1958 17:05,0,0,0,0,.03K,0,,0,,,,,0,33,,,,,0,,,0,,,34.7,-99.83,,,,,PUB
195808,30,1950,195808,30,1950,,10010908,ILLINOIS,17,1958,August,Tornado,C,201,WINNEBAGO,,8/30/1958 19:50,CST,8/30/1958 19:50,0,0,0,0,25K,0,,0,,,,F2,0,33,,,,,0,,,0,,,42.32,-89.05,,,,,PUB
195804,2,1840,195804,2,1840,,10121201,TEXAS,48,1958,April,Tornado,C,337,MONTAGUE,,4/2/1958 18:40,CST,4/2/1958 18:40,1,0,0,0,25K,0,,0,,,,F3,18.2,300,,,,,0,,,0,,,33.65,-97.9,33.87,-97.72,,,PUB
195802,26,1730,195802,26,1730,,10049550,MISSISSIPPI,28,1958,February,Tornado,C,29,COPIAH,,2/26/1958 17:30,CST,2/26/1958 17:30,0,0,0,0,250K,0,,0,,,,F3,6.2,60,,,,,0,,,0,,,31.98,-90.53,32.05,-90.47,,,PUB
195807,13,2300,195807,13,2300,,10026726,KANSAS,20,1958,July,Tornado,C,165,RUSH,,7/13/1958 23:00,CST,7/13/1958 23:00,0,0,0,0,2.5K,0,,0,,,,,2.5,27,,,,,0,,,0,,,38.53,-99.22,,,,,PUB
195807,31,1532,195807,31,1532,,10003547,INDIANA,18,1958,July,Tornado,C,145,SHELBY,,7/31/1958 15:32,CST,7/31/1958 15:32,0,0,0,0,25K,0,,0,,,,F3,0,33,,,,,0,,,0,,,39.52,-85.77,,,,,PUB
195804,5,2215,195804,5,2215,,9977969,ALABAMA,1,1958,April,Tornado,C,83,LIMESTONE,,4/5/1958 22:15,CST,4/5/1958 22:15,0,0,0,0,250K,0,,0,,,,F2,10.5,50,,,,,0,,,0,,,34.8,-87,34.92,-86.88,,,PUB
195804,5,2230,195804,5,2230,,9977970,ALABAMA,1,1958,April,Tornado,C,89,MADISON,,4/5/1958 22:30,CST,4/5/1958 22:30,0,0,0,0,25K,0,,0,,,,F1,0,33,,,,,0,,,0,,,34.73,-86.62,,,,,PUB
195804,5,2300,195804,5,2300,,9977971,ALABAMA,1,1958,April,Tornado,C,43,CULLMAN,,4/5/1958 23:00,CST,4/5/1958 23:00,0,0,0,0,250K,0,,0,,,,F1,8.8,200,,,,,0,,,0,,,34.25,-86.87,34.33,-86.75,,,PUB
195804,5,2320,195804,5,2320,,9977972,ALABAMA,1,1958,April,Tornado,C,43,CULLMAN,,4/5/1958 23:20,CST,4/5/1958 23:20,0,0,0,0,25K,0,,0,,,,F2,6.6,33,,,,,0,,,0,,,34.3,-86.9,34.37,-86.82,,,PUB
195804,6,3,195804,6,3,,9977973,ALABAMA,1,1958,April,Tornado,C,95,MARSHALL,,4/6/1958 0:03,CST,4/6/1958 0:03,1,0,0,0,250K,0,,0,,,,F3,15.8,100,,,,,0,,,0,,,34.27,-86.22,34.47,-86.08,,,PUB
195804,6,3,195804,6,3,,9977974,ALABAMA,1,1958,April,Tornado,C,71,JACKSON,,4/6/1958 0:03,CST,4/6/1958 0:03,0,0,0,0,250K,0,,0,,,,F3,9.9,100,,,,,0,,,0,,,34.47,-86.08,34.58,-85.98,,,PUB
195804,29,600,195804,29,600,,9977977,ALABAMA,1,1958,April,Tornado,C,73,JEFFERSON,,4/29/1958 6:00,CST,4/29/1958 6:00,0,0,0,0,25K,0,,0,,,,F1,0.3,300,,,,,0,,,0,,,33.27,-86.97,,,,,PUB
195804,29,600,195804,29,600,,9977978,ALABAMA,1,1958,April,Tornado,C,73,JEFFERSON,,4/29/1958 6:00,CST,4/29/1958 6:00,0,0,0,0,25K,0,,0,,,,F2,0.5,100,,,,,0,,,0,,,33.63,-86.82,,,,,PUB
195804,29,630,195804,29,630,,9977979,ALABAMA,1,1958,April,Tornado,C,21,CHILTON,,4/29/1958 6:30,CST,4/29/1958 6:30,0,0,0,0,2.5K,0,,0,,,,F0,0,33,,,,,0,,,0,,,32.83,-86.47,,,,,PUB
195804,29,640,195804,29,640,,9977980,ALABAMA,1,1958,April,Tornado,C,21,CHILTON,,4/29/1958 6:40,CST,4/29/1958 6:40,0,0,0,0,25K,0,,0,,,,F1,12.1,100,,,,,0,,,0,,,32.95,-86.75,33.08,-86.62,,,PUB
195804,29,640,195804,29,640,,9977981,ALABAMA,1,1958,April,Tornado,C,55,ETOWAH,,4/29/1958 6:40,CST,4/29/1958 6:40,0,0,0,0,25K,0,,0,,,,F1,0,33,,,,,0,,,0,,,34,-86,,,,,PUB
195804,5,2200,195804,5,2200,,9977968,ALABAMA,1,1958,April,Tornado,C,79,LAWRENCE,,4/5/1958 22:00,CST,4/5/1958 22:00,0,0,0,0,25K,0,,0,,,,F2,25.6,100,,,,,0,,,0,,,34.7,-87.4,34.92,-87.03,,,PUB
195801,31,1330,195801,31,1330,,9977955,ALABAMA,1,1958,January,Tornado,C,59,FRANKLIN,,1/31/1958 13:30,CST,1/31/1958 13:30,0,0,0,0,2.5K,0,,0,,,,F2,3,440,,,,,0,,,0,,,34.48,-87.87,,,,,PUB
195802,6,1405,195802,6,1405,,9977957,ALABAMA,1,1958,February,Tornado,C,109,PIKE,,2/6/1958 14:05,CST,2/6/1958 14:05,0,0,0,0,25K,0,,0,,,,F2,11.3,200,,,,,0,,,0,,,31.72,-86.12,31.83,-85.98,,,PUB
195802,26,2000,195802,26,2000,,9977959,ALABAMA,1,1958,February,Tornado,C,23,CHOCTAW,,2/26/1958 20:00,CST,2/26/1958 20:00,0,0,0,0,250K,0,,0,,,,F2,20.9,67,,,,,0,,,0,,,31.78,-88.45,32,-88.2,,,PUB
195802,26,2330,195802,26,2330,,9977961,ALABAMA,1,1958,February,Tornado,C,53,ESCAMBIA,,2/26/1958 23:30,CST,2/26/1958 23:30,0,0,0,0,25K,0,,0,,,,F1,0,10,,,,,0,,,0,,,31.07,-87.42,,,,,PUB
195802,27,130,195802,27,130,,9977962,ALABAMA,1,1958,February,Tornado,C,101,MONTGOMERY,,2/27/1958 1:30,CST,2/27/1958 1:30,0,0,0,0,25K,0,,0,,,,F1,12.9,200,,,,,0,,,0,,,32.23,-86,32.4,-85.9,,,PUB
195804,5,2000,195804,5,2000,,9977965,ALABAMA,1,1958,April,Tornado,C,103,MORGAN,,4/5/1958 20:00,CST,4/5/1958 20:00,0,0,0,0,2.5K,0,,0,,,,F1,0.5,100,,,,,0,,,0,,,34.57,-86.95,,,,,PUB
195804,5,2100,195804,5,2100,,9977966,ALABAMA,1,1958,April,Tornado,C,33,COLBERT,,4/5/1958 21:00,CST,4/5/1958 21:00,1,0,1,0,250K,0,,0,,,,F2,8.9,100,,,,,0,,,0,,,34.67,-87.53,34.77,-87.43,,,PUB
195804,5,2100,195804,5,2100,,9977967,ALABAMA,1,1958,April,Tornado,C,79,LAWRENCE,,4/5/1958 21:00,CST,4/5/1958 21:00,0,0,0,0,250K,0,,0,,,,F2,10.3,100,,,,,0,,,0,,,34.77,-87.43,34.85,-87.28,,,PUB
195805,25,1600,195805,25,1600,,9977987,ALABAMA,1,1958,May,Tornado,C,103,MORGAN,,5/25/1958 16:00,CST,5/25/1958 16:00,1,0,0,0,25K,0,,0,,,,F2,0,50,,,,,0,,,0,,,34.63,-87,,,,,PUB
195811,17,1400,195811,17,1400,,10062636,MISSOURI,29,1958,November,Tornado,C,81,HARRISON,,11/17/1958 14:00,CST,11/17/1958 14:00,0,0,0,0,250K,0,,0,,,,F2,4.1,100,,,,,0,,,0,,,40.2,-93.93,40.27,-93.9,,,PUB
195808,20,1520,195808,20,1520,,10093581,OKLAHOMA,40,1958,August,Tornado,C,143,TULSA,,8/20/1958 15:20,CST,8/20/1958 15:20,0,0,0,0,2.5K,0,,0,,,,F2,0.1,33,,,,,0,,,0,,,36.25,-95.9,,,,,PUB
