BEGIN_YEARMONTH,BEGIN_DAY,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EPISODE_ID,EVENT_ID,STATE,STATE_FIPS,YEAR,MONTH_NAME,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,MAGNITUDE,MAGNITUDE_TYPE,FLOOD_CAUSE,CATEGORY,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,TOR_OTHER_WFO,TOR_OTHER_CZ_STATE,TOR_OTHER_CZ_FIPS,TOR_OTHER_CZ_NAME,BEGIN_RANGE,BEGIN_AZIMUTH,BEGIN_LOCATION,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EPISODE_NARRATIVE,EVENT_NARRATIVE,DATA_SOURCE
196403,4,520,196403,4,520,,9982572,ARKANSAS,5,1964,March,Tornado,C,27,COLUMBIA,,3/4/1964 5:20,CST,3/4/1964 5:20,0,0,1,0,250K,0,,0,,,,F3,9.1,600,,,,,0,,,0,,,33.35,-93.4,33.45,-93.3,,,PUB
196405,5,1545,196405,5,1545,,10069519,NEBRASKA,31,1964,May,Tornado,C,11,BOONE,,5/5/1964 15:45,CST,5/5/1964 15:45,0,0,0,0,25K,0,,0,,,,F4,39.9,33,,,,,0,,,0,,,41.55,-98.28,42.07,-97.93,,,PUB
196403,10,1420,196403,10,1420,,10079242,NEW JERSEY,34,1964,March,Tornado,C,15,GLOUCESTER,,3/10/1964 14:20,CST,3/10/1964 14:20,0,0,0,0,250K,0,,0,,,,F1,5.2,200,,,,,0,,,0,,,39.83,-75.15,39.85,-75.05,,,PUB
196403,10,1430,196403,10,1430,,10079243,NEW JERSEY,34,1964,March,Tornado,C,7,CAMDEN,,3/10/1964 14:30,CST,3/10/1964 14:30,0,0,0,0,250K,0,,0,,,,F1,8.9,200,,,,,0,,,0,,,39.85,-75.1,39.88,-74.93,,,PUB
196408,10,1800,196408,10,1800,,10055534,MINNESOTA,27,1964,August,Tornado,C,105,NOBLES,,8/10/1964 18:00,CST,8/10/1964 18:00,0,0,0,0,25K,0,,0,,,,F1,0,77,,,,,0,,,0,,,43.67,-95.73,43.63,-95.7,,,PUB
196406,19,1910,196406,19,1910,,10012198,IOWA,19,1964,June,Tornado,C,145,PAGE,,6/19/1964 19:10,CST,6/19/1964 19:10,2,0,0,0,2.5M,0,,0,,,,F3,11.5,350,,,,,0,,,0,,,40.72,-95.35,40.83,-95.18,,,PUB
196406,21,1400,196406,21,1400,,10010666,IDAHO,16,1964,June,Tornado,C,33,CLARK,,6/21/1964 14:00,CST,6/21/1964 14:00,0,0,0,0,0K,0,,0,,,,,0,33,,,,,0,,,0,,,44.08,-112.13,,,,,PUB
196408,13,1810,196408,13,1810,,9988774,FLORIDA,12,1964,August,Tornado,C,86,MIAMI-DADE,,8/13/1964 18:10,CST,8/13/1964 18:10,0,0,0,0,0K,0,,0,,,,,0,33,,,,,0,,,0,,,25.9,-80.25,,,,,PUB
196404,26,1940,196404,26,1940,,10026347,KANSAS,20,1964,April,Tornado,C,91,JOHNSON,,4/26/1964 19:40,CST,4/26/1964 19:40,0,0,0,0,0K,0,,0,,,,,0,33,,,,,0,,,0,,,38.85,-94.77,,,,,PUB
196410,3,545,196410,3,545,,10030798,LOUISIANA,22,1964,October,Tornado,C,57,LAFOURCHE,,10/3/1964 5:45,CST,10/3/1964 5:45,0,0,0,0,2.5K,0,,0,,,,F1,0.5,33,,,,,0,,,0,,,29.37,-90.23,,,,,PUB
