BEGIN_YEARMONTH,BEGIN_DAY,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EPISODE_ID,EVENT_ID,STATE,STATE_FIPS,YEAR,MONTH_NAME,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,MAGNITUDE,MAGNITUDE_TYPE,FLOOD_CAUSE,CATEGORY,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,TOR_OTHER_WFO,TOR_OTHER_CZ_STATE,TOR_OTHER_CZ_FIPS,TOR_OTHER_CZ_NAME,BEGIN_RANGE,BEGIN_AZIMUTH,BEGIN_LOCATION,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EPISODE_NARRATIVE,EVENT_NARRATIVE,DATA_SOURCE
198206,2,1645,198206,2,1645,,9985660,COLORADO,8,1982,June,Tornado,C,1,ADAMS,,6/2/1982 16:45,CST,6/2/1982 16:45,0,0,0,0,.03K,0,,0,,,,F1,0.5,100,,,,,0,,,0,,,39.78,-104.25,,,,,PUB
198206,2,1655,198206,2,1655,,9985661,COLORADO,8,1982,June,Tornado,C,123,WELD,,6/2/1982 16:55,CST,6/2/1982 16:55,0,0,0,0,.03K,0,,0,,,,F1,3,100,,,,,0,,,0,,,40.23,-104.37,40.22,-104.3,,,PUB
198206,2,1636,198206,2,1636,,9985656,COLORADO,8,1982,June,Tornado,C,1,ADAMS,,6/2/1982 16:36,CST,6/2/1982 16:36,0,0,0,0,.03K,0,,0,,,,F1,1,100,,,,,0,,,0,,,39.83,-104.23,,,,,PUB
198205,17,1538,198205,17,1538,,10047804,MINNESOTA,27,1982,May,Tornado,C,147,STEELE,,5/17/1982 15:38,CST,5/17/1982 15:38,0,0,0,0,250K,0,,0,,,,F3,16,100,,,,,0,,,0,,,43.85,-93.17,44.1,-93.17,,,PUB
198204,17,335,198204,17,335,,9978526,ALABAMA,1,1982,April,Tornado,C,77,LAUDERDALE,,4/17/1982 3:35,CST,4/17/1982 3:35,0,0,0,0,250K,0,,0,,,,F1,1,100,,,,,0,,,0,,,34.95,-87.22,34.95,-87.2,,,PUB
198204,17,337,198204,17,337,,9978527,ALABAMA,1,1982,April,Tornado,C,83,LIMESTONE,,4/17/1982 3:37,CST,4/17/1982 3:37,0,0,0,0,250K,0,,0,,,,F1,25,100,,,,,0,,,0,,,34.95,-87.2,34.93,-86.78,,,PUB
198204,17,400,198204,17,400,,9978528,ALABAMA,1,1982,April,Tornado,C,79,LAWRENCE,,4/17/1982 4:00,CST,4/17/1982 4:00,0,0,0,0,.03K,0,,0,,,,F1,0.2,40,,,,,0,,,0,,,34.67,-87.33,,,,,PUB
198204,17,425,198204,17,425,,9978529,ALABAMA,1,1982,April,Tornado,C,89,MADISON,,4/17/1982 4:25,CST,4/17/1982 4:25,0,0,0,0,250K,0,,0,,,,F1,2,100,,,,,0,,,0,,,34.93,-86.78,34.92,-86.75,,,PUB
198204,25,520,198204,25,520,,9978532,ALABAMA,1,1982,April,Tornado,C,97,MOBILE,,4/25/1982 5:20,CST,4/25/1982 5:20,0,0,0,0,250K,0,,0,,,,F3,1.5,100,,,,,0,,,0,,,30.25,-88.13,,,,,PUB
198206,13,1700,198206,13,1700,,10074684,NEW MEXICO,35,1982,June,Tornado,C,47,SAN MIGUEL,,6/13/1982 17:00,CST,6/13/1982 17:00,0,0,0,0,.03K,0,,0,,,,F1,0.1,3,,,,,0,,,0,,,35.6,-105.22,,,,,PUB
198205,29,1405,198205,29,1405,,10005666,ILLINOIS,17,1982,May,Tornado,C,199,WILLIAMSON,,5/29/1982 14:05,CST,5/29/1982 14:05,181,0,10,0,250M,0,,0,,,,F4,17,400,,,,,0,,,0,,,37.8,-89.13,37.72,-88.83,,,PUB
198203,16,1530,198203,16,1530,,10016807,INDIANA,18,1982,March,Tornado,C,1,ADAMS,,3/16/1982 15:30,CST,3/16/1982 15:30,0,0,0,0,250K,0,,0,,,,F1,0,33,,,,,0,,,0,,,40.92,-85.07,40.92,-84.98,,,PUB
198205,15,1600,198205,15,1600,,10012943,IOWA,19,1982,May,Tornado,C,155,POTTAWATTAMIE,,5/15/1982 16:00,CST,5/15/1982 16:00,0,0,0,0,.03K,0,,0,,,,F0,0,33,,,,,0,,,0,,,41.48,-95.58,,,,,PUB
198205,16,2055,198205,16,2055,,10105634,OKLAHOMA,40,1982,May,Tornado,C,31,COMANCHE,,5/16/1982 20:55,CST,5/16/1982 20:55,0,0,0,0,2.5M,0,,0,,,,F0,4,50,,,,,0,,,0,,,34.6,-98.42,34.67,-98.42,,,PUB
198209,21,905,198209,21,905,,9999763,FLORIDA,12,1982,September,Tornado,C,103,PINELLAS,,9/21/1982 9:05,CST,9/21/1982 9:05,0,0,0,0,250K,0,,0,,,,F1,0.3,10,,,,,0,,,0,,,28.03,-82.67,,,,,PUB
198206,15,1425,198206,15,1425,,10038541,MICHIGAN,26,1982,June,Tornado,C,145,SAGINAW,,6/15/1982 14:25,CST,6/15/1982 14:25,3,0,0,0,2.5M,0,,0,,,,F2,19,300,,,,,0,,,0,,,43.32,-84.3,43.42,-83.97,,,PUB
198212,2,1500,198212,2,1500,,9990407,ARKANSAS,5,1982,December,Tornado,C,119,PULASKI,,12/2/1982 15:00,CST,12/2/1982 15:00,25,0,1,0,25M,0,,0,,,,F3,14,233,,,,,0,,,0,,,34.63,-92.43,34.85,-92.27,,,PUB
198203,16,1252,198203,16,1252,,10030241,KENTUCKY,21,1982,March,Tornado,C,197,POWELL,,3/16/1982 12:52,CST,3/16/1982 12:52,1,0,0,0,250K,0,,0,,,,F2,4,400,,,,,0,,,0,,,37.88,-84.02,37.88,-83.95,,,PUB
198212,24,1825,198212,24,1825,,9989786,ARKANSAS,5,1982,December,Tornado,C,147,WOODRUFF,,12/24/1982 18:25,CST,12/24/1982 18:25,0,0,0,0,250K,0,,0,,,,F2,15,200,,,,,0,,,0,,,35.17,-91.25,35.37,-91.08,,,PUB
198204,2,1525,198204,2,1525,,10128752,TEXAS,48,1982,April,Tornado,C,147,FANNIN,,4/2/1982 15:25,CST,4/2/1982 15:25,0,0,0,0,0K,0,,0,,,,F2,1,50,,,,,0,,,0,,,33.65,-96.17,,,,,PUB
198205,19,1658,198205,19,1658,,10131379,TEXAS,48,1982,May,Tornado,C,65,CARSON,,5/19/1982 16:58,CST,5/19/1982 16:58,0,0,0,0,.03K,0,,0,,,,F0,0.5,50,,,,,0,,,0,,,35.57,-101.18,,,,,PUB
198204,25,525,198204,25,525,,9978533,ALABAMA,1,1982,April,Tornado,C,97,MOBILE,,4/25/1982 5:25,CST,4/25/1982 5:25,0,0,0,0,2.5K,0,,0,,,,F1,1,50,,,,,0,,,0,,,30.25,-88.12,,,,,PUB
198204,25,530,198204,25,530,,9978534,ALABAMA,1,1982,April,Tornado,C,3,BALDWIN,,4/25/1982 5:30,CST,4/25/1982 5:30,0,0,0,0,25K,0,,0,,,,F1,1,77,,,,,0,,,0,,,30.42,-87.6,,,,,PUB
198204,26,1325,198204,26,1325,,9978538,ALABAMA,1,1982,April,Tornado,C,75,LAMAR,,4/26/1982 13:25,CST,4/26/1982 13:25,0,0,0,0,250K,0,,0,,,,F3,3,200,,,,,0,,,0,,,33.93,-88,33.95,-87.95,,,PUB
198204,26,1331,198204,26,1331,,9978539,ALABAMA,1,1982,April,Tornado,C,93,MARION,,4/26/1982 13:31,CST,4/26/1982 13:31,0,0,0,0,250K,0,,0,,,,F3,9,200,,,,,0,,,0,,,33.95,-87.95,33.95,-87.8,,,PUB
198204,26,1510,198204,26,1510,,9978548,ALABAMA,1,1982,April,Tornado,C,1,AUTAUGA,,4/26/1982 15:10,CST,4/26/1982 15:10,0,0,0,0,250K,0,,0,,,,F1,7,200,,,,,0,,,0,,,32.55,-86.52,32.57,-86.4,,,PUB
198204,26,1525,198204,26,1525,,9978550,ALABAMA,1,1982,April,Tornado,C,51,ELMORE,,4/26/1982 15:25,CST,4/26/1982 15:25,0,0,0,0,250K,0,,0,,,,F1,5,200,,,,,0,,,0,,,32.57,-86.4,32.63,-86.32,,,PUB
198212,24,1818,198212,24,1818,,9989784,ARKANSAS,5,1982,December,Tornado,C,147,WOODRUFF,,12/24/1982 18:18,CST,12/24/1982 18:18,0,0,1,0,2.5M,0,,0,,,,F3,12,300,,,,,0,,,0,,,35.17,-91.33,35.35,-91.18,,,PUB
198204,2,1550,198204,2,1550,,10108986,OKLAHOMA,40,1982,April,Tornado,C,23,CHOCTAW,,4/2/1982 15:50,CST,4/2/1982 15:50,25,0,0,0,2.5M,0,,0,,,,F5,22,500,,,,,0,,,0,,,34.13,-95.57,34.05,-95.17,,,PUB
198204,2,1659,198204,2,1659,,10108988,OKLAHOMA,40,1982,April,Tornado,C,89,MCCURTAIN,,4/2/1982 16:59,CST,4/2/1982 16:59,0,0,0,0,2.5M,0,,0,,,,F3,3,233,,,,,0,,,0,,,33.65,-94.53,33.63,-94.48,,,PUB
