BEGIN_YEARMONTH,BEGIN_DAY,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EPISODE_ID,EVENT_ID,STATE,STATE_FIPS,YEAR,MONTH_NAME,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,MAGNITUDE,MAGNITUDE_TYPE,FLOOD_CAUSE,CATEGORY,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,TOR_OTHER_WFO,TOR_OTHER_CZ_STATE,TOR_OTHER_CZ_FIPS,TOR_OTHER_CZ_NAME,BEGIN_RANGE,BEGIN_AZIMUTH,BEGIN_LOCATION,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EPISODE_NARRATIVE,EVENT_NARRATIVE,DATA_SOURCE
195910,8,1900,195910,8,1900,,10041753,MICHIGAN,26,1959,October,Tornado,C,27,CASS,,10/8/1959 19:00,CST,10/8/1959 19:00,0,0,0,0,.25K,0,,0,,,,F1,12.1,33,,,,,0,,,0,,,41.88,-85.83,42,-85.65,,,PUB
195905,9,1815,195905,9,1815,,10019293,IOWA,19,1959,May,Tornado,C,157,POWESHIEK,,5/9/1959 18:15,CST,5/9/1959 18:15,0,0,0,0,2.5K,0,,0,,,,F1,4.9,200,,,,,0,,,0,,,41.7,-92.6,41.75,-92.52,,,PUB
195905,8,1515,195905,8,1515,,10081702,NEW MEXICO,35,1959,May,Tornado,C,41,ROOSEVELT,,5/8/1959 15:15,CST,5/8/1959 15:15,0,0,0,0,25K,0,,0,,,,F1,5.4,400,,,,,0,,,0,,,34.1,-103.1,34.13,-103.02,,,PUB
195905,9,1800,195905,9,1800,,10094788,OKLAHOMA,40,1959,May,Tornado,C,131,ROGERS,,5/9/1959 18:00,CST,5/9/1959 18:00,0,0,0,0,250K,0,,0,,,,F3,8.2,50,,,,,0,,,0,,,36.4,-95.8,36.52,-95.77,,,PUB
195905,29,1630,195905,29,1630,,10027877,KANSAS,20,1959,May,Tornado,C,179,SHERIDAN,,5/29/1959 16:30,CST,5/29/1959 16:30,0,0,0,0,250K,0,,0,,,,F1,7.9,33,,,,,0,,,0,,,39.37,-100.47,39.47,-100.38,,,PUB
195904,8,630,195904,8,630,,10122990,TEXAS,48,1959,April,Tornado,C,201,HARRIS,,4/8/1959 6:30,CST,4/8/1959 6:30,0,0,0,0,25K,0,,0,,,,F1,4.9,67,,,,,0,,,0,,,30.1,-95.62,30.15,-95.57,,,PUB
195906,25,1700,195906,25,1700,,10159475,WYOMING,56,1959,June,Tornado,C,11,CROOK,,6/25/1959 17:00,CST,6/25/1959 17:00,0,0,0,0,25K,0,,0,,,,F2,1,133,,,,,0,,,0,,,44.27,-104.52,,,,,PUB
195903,20,1245,195903,20,1245,,10122114,TEXAS,48,1959,March,Tornado,C,147,FANNIN,,3/20/1959 12:45,CST,3/20/1959 12:45,0,0,0,0,25K,0,,0,,,,F2,10.7,67,,,,,0,,,0,,,33.43,-96.35,33.58,-96.3,,,PUB
195903,20,1245,195903,20,1245,,10122115,TEXAS,48,1959,March,Tornado,C,147,FANNIN,,3/20/1959 12:45,CST,3/20/1959 12:45,0,0,0,0,25K,0,,0,,,,F2,10.7,67,,,,,0,,,0,,,33.43,-96.35,33.58,-96.3,,,PUB
195905,22,705,195905,22,705,,10119875,TEXAS,48,1959,May,Tornado,C,169,GARZA,,5/22/1959 7:05,CST,5/22/1959 7:05,0,0,0,0,0K,0,,0,,,,F0,2,80,,,,,0,,,0,,,33.37,-101.47,,,,,PUB
195905,23,338,195905,23,338,,10119879,TEXAS,48,1959,May,Tornado,C,239,JACKSON,,5/23/1959 3:38,CST,5/23/1959 3:38,0,0,0,0,0K,0,,0,,,,F0,0,33,,,,,0,,,0,,,29.02,-96.63,,,,,PUB
195905,24,20,195905,24,20,,10119880,TEXAS,48,1959,May,Tornado,C,273,KLEBERG,,5/24/1959 0:20,CST,5/24/1959 0:20,0,0,0,0,0K,0,,0,,,,F0,0,33,,,,,0,,,0,,,27.63,-97.98,,,,,PUB
195905,25,1800,195905,25,1800,,10119882,TEXAS,48,1959,May,Tornado,C,479,WEBB,,5/25/1959 18:00,CST,5/25/1959 18:00,0,0,0,0,.25K,0,,0,,,,F3,0,33,,,,,0,,,0,,,35.32,-100.68,,,,,PUB
195905,25,2230,195905,25,2230,,10119888,TEXAS,48,1959,May,Tornado,C,11,ARMSTRONG,,5/25/1959 22:30,CST,5/25/1959 22:30,0,0,0,0,0K,0,,0,,,,F0,0.4,17,,,,,0,,,0,,,34.85,-101.43,,,,,PUB
195907,29,2300,195907,29,2300,,10081725,NEW MEXICO,35,1959,July,Tornado,C,13,DONA ANA,,7/29/1959 23:00,CST,7/29/1959 23:00,0,0,0,0,2.5K,0,,0,,,,F1,0,33,,,,,0,,,0,,,32.07,-106.62,,,,,PUB
195910,2,1000,195910,2,1000,,10092791,OKLAHOMA,40,1959,October,Tornado,C,105,NOWATA,,10/2/1959 10:00,CST,10/2/1959 10:00,0,0,0,0,0K,0,,0,,,,F1,2,33,,,,,0,,,0,,,36.77,-95.77,,,,,PUB
195910,4,725,195910,4,725,,10092792,OKLAHOMA,40,1959,October,Tornado,C,13,BRYAN,,10/4/1959 7:25,CST,10/4/1959 7:25,2,0,0,0,25K,0,,0,,,,F2,4.3,200,,,,,0,,,0,,,33.8,-96.2,33.85,-96.23,,,PUB
195911,3,1800,195911,3,1800,,10092793,OKLAHOMA,40,1959,November,Tornado,C,89,MCCURTAIN,,11/3/1959 18:00,CST,11/3/1959 18:00,0,0,0,0,2.5K,0,,0,,,,F1,0,33,,,,,0,,,0,,,33.9,-94.73,,,,,PUB
195905,9,1535,195905,9,1535,,10094777,OKLAHOMA,40,1959,May,Tornado,C,113,OSAGE,,5/9/1959 15:35,CST,5/9/1959 15:35,0,0,0,0,0K,0,,0,,,,F1,7.7,33,,,,,0,,,0,,,36.4,-96.47,36.5,-96.4,,,PUB
195905,9,1600,195905,9,1600,,10094778,OKLAHOMA,40,1959,May,Tornado,C,113,OSAGE,,5/9/1959 16:00,CST,5/9/1959 16:00,0,0,0,0,0K,0,,0,,,,F1,4.9,33,,,,,0,,,0,,,36.53,-96.35,36.58,-96.28,,,PUB
195905,9,1725,195905,9,1725,,10094781,OKLAHOMA,40,1959,May,Tornado,C,97,MAYES,,5/9/1959 17:25,CST,5/9/1959 17:25,3,0,0,0,250K,0,,0,,,,F3,7.3,880,,,,,0,,,0,,,36.43,-95.12,36.48,-95,,,PUB
195905,9,1728,195905,9,1728,,10094782,OKLAHOMA,40,1959,May,Tornado,C,97,MAYES,,5/9/1959 17:28,CST,5/9/1959 17:28,0,0,0,0,.25K,0,,0,,,,F1,0,33,,,,,0,,,0,,,36.18,-95.27,,,,,PUB
195905,9,1740,195905,9,1740,,10094783,OKLAHOMA,40,1959,May,Tornado,C,143,TULSA,,5/9/1959 17:40,CST,5/9/1959 17:40,0,0,0,0,25K,0,,0,,,,F2,19.1,300,,,,,0,,,0,,,36.42,-95.85,36.63,-95.63,,,PUB
195905,9,1740,195905,9,1740,,10094784,OKLAHOMA,40,1959,May,Tornado,C,41,DELAWARE,,5/9/1959 17:40,CST,5/9/1959 17:40,0,0,0,0,250K,0,,0,,,,F3,15.9,880,,,,,0,,,0,,,36.48,-95,36.6,-94.75,,,PUB
