BEGIN_YEARMONTH,BEGIN_DAY,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EPISODE_ID,EVENT_ID,STATE,STATE_FIPS,YEAR,MONTH_NAME,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,MAGNITUDE,MAGNITUDE_TYPE,FLOOD_CAUSE,CATEGORY,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,TOR_OTHER_WFO,TOR_OTHER_CZ_STATE,TOR_OTHER_CZ_FIPS,TOR_OTHER_CZ_NAME,BEGIN_RANGE,BEGIN_AZIMUTH,BEGIN_LOCATION,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EPISODE_NARRATIVE,EVENT_NARRATIVE,DATA_SOURCE
197201,9,2320,197201,9,2320,,10049806,MISSISSIPPI,28,1972,January,Tornado,C,67,JONES,,1/9/1972 23:20,CST,1/9/1972 23:20,12,0,0,0,2.5M,0,,0,,,,F3,13.5,300,,,,,0,,,0,,,31.7,-89.17,31.77,-88.95,,,PUB
197203,2,700,197203,2,700,,9978347,ALABAMA,1,1972,March,Tornado,C,129,WASHINGTON,,3/2/1972 7:00,CST,3/2/1972 7:00,0,0,0,0,2.5K,0,,0,,,,F2,8,33,,,,,0,,,0,,,31.43,-88.05,31.53,-87.98,,,PUB
197205,31,1145,197205,31,1145,,10079162,NEW HAMPSHIRE,33,1972,May,Tornado,C,13,MERRIMACK,,5/31/1972 11:45,CST,5/31/1972 11:45,0,0,0,0,.25K,0,,0,,,,F1,0.1,50,,,,,0,,,0,,,43.32,-71.6,,,,,PUB
197211,13,1440,197211,13,1440,,9978615,ALABAMA,1,1972,November,Tornado,C,3,BALDWIN,,11/13/1972 14:40,CST,11/13/1972 14:40,0,0,0,0,25K,0,,0,,,,F2,1,200,,,,,0,,,0,,,30.62,-87.7,,,,,PUB
197206,27,845,197206,27,845,,9978599,ALABAMA,1,1972,June,Tornado,C,95,MARSHALL,,6/27/1972 8:45,CST,6/27/1972 8:45,2,0,0,0,25K,0,,0,,,,F2,0.3,40,,,,,0,,,0,,,34.32,-86.5,,,,,PUB
197207,3,2230,197207,3,2230,,9978608,ALABAMA,1,1972,July,Tornado,C,109,PIKE,,7/3/1972 22:30,CST,7/3/1972 22:30,0,0,0,0,250K,0,,0,,,,F2,0.3,200,,,,,0,,,0,,,31.8,-85.98,,,,,PUB
197210,27,1345,197210,27,1345,,9978613,ALABAMA,1,1972,October,Tornado,C,73,JEFFERSON,,10/27/1972 13:45,CST,10/27/1972 13:45,0,0,0,0,250K,0,,0,,,,F2,17.1,50,,,,,0,,,0,,,33.52,-86.92,33.75,-86.82,,,PUB
197212,15,700,197212,15,700,,9978616,ALABAMA,1,1972,December,Tornado,C,53,ESCAMBIA,,12/15/1972 7:00,CST,12/15/1972 7:00,3,0,0,0,2.5K,0,,0,,,,F2,1,50,,,,,0,,,0,,,31.03,-87.05,,,,,PUB
197204,22,340,197204,22,340,,9978587,ALABAMA,1,1972,April,Tornado,C,47,DALLAS,,4/22/1972 3:40,CST,4/22/1972 3:40,0,0,0,0,25K,0,,0,,,,F2,5.7,200,,,,,0,,,0,,,32.1,-87.13,32.17,-87.08,,,PUB
197206,8,1400,197206,8,1400,,9978590,ALABAMA,1,1972,June,Tornado,C,53,ESCAMBIA,,6/8/1972 14:00,CST,6/8/1972 14:00,0,0,0,0,25K,0,,0,,,,F2,0.1,30,,,,,0,,,0,,,31.02,-87.48,,,,,PUB
197204,21,1720,197204,21,1720,,10010159,ILLINOIS,17,1972,April,Tornado,C,151,POPE,,4/21/1972 17:20,CST,4/21/1972 17:20,0,0,3,0,25K,0,,0,,,,F3,0.3,60,,,,,0,,,0,,,37.55,-88.53,,,,,PUB
197204,30,2216,197204,30,2216,,10021031,KANSAS,20,1972,April,Tornado,C,91,JOHNSON,,4/30/1972 22:16,CST,4/30/1972 22:16,0,0,0,0,250K,0,,0,,,,F2,0,233,,,,,0,,,0,,,38.75,-94.77,,,,,PUB
197207,26,1700,197207,26,1700,,9998300,FLORIDA,12,1972,July,Tornado,C,31,DUVAL,,7/26/1972 17:00,CST,7/26/1972 17:00,4,0,0,0,0K,0,,0,,,,F1,0.3,30,,,,,0,,,0,,,30.33,-81.67,,,,,PUB
197203,18,1500,197203,18,1500,,9978577,ALABAMA,1,1972,March,Tornado,C,97,MOBILE,,3/18/1972 15:00,CST,3/18/1972 15:00,0,0,0,0,25K,0,,0,,,,F1,1,60,,,,,0,,,0,,,30.55,-88.17,,,,,PUB
197203,2,745,197203,2,745,,9978565,ALABAMA,1,1972,March,Tornado,C,53,ESCAMBIA,,3/2/1972 7:45,CST,3/2/1972 7:45,0,0,0,0,2.5K,0,,0,,,,F2,4.7,33,,,,,0,,,0,,,31,-87.48,31.03,-87.42,,,PUB
197204,3,1930,197204,3,1930,,10047573,MISSISSIPPI,28,1972,April,Tornado,C,27,COAHOMA,,4/3/1972 19:30,CST,4/3/1972 19:30,0,0,0,0,25K,0,,0,,,,F1,4.7,33,,,,,0,,,0,,,34,-90.48,34.03,-90.42,,,PUB
197206,11,1305,197206,11,1305,,10073520,MONTANA,30,1972,June,Tornado,C,105,VALLEY,,6/11/1972 13:05,CST,6/11/1972 13:05,0,0,0,0,0K,0,,0,,,,F1,3.6,30,,,,,0,,,0,,,48.93,-106.42,48.93,-106.32,,,PUB
197206,11,1305,197206,11,1305,,10073521,MONTANA,30,1972,June,Tornado,C,105,VALLEY,,6/11/1972 13:05,CST,6/11/1972 13:05,0,0,0,0,2.5K,0,,0,,,,F2,0.3,30,,,,,0,,,0,,,48.68,-106.4,,,,,PUB
197206,11,1425,197206,11,1425,,10073522,MONTANA,30,1972,June,Tornado,C,83,RICHLAND,,6/11/1972 14:25,CST,6/11/1972 14:25,0,0,0,0,.25K,0,,0,,,,F2,9.1,50,,,,,0,,,0,,,47.72,-104.82,47.65,-104.63,,,PUB
197206,11,1455,197206,11,1455,,10073523,MONTANA,30,1972,June,Tornado,C,19,DANIELS,,6/11/1972 14:55,CST,6/11/1972 14:55,0,0,0,0,2.5K,0,,0,,,,F1,10.4,50,,,,,0,,,0,,,48.77,-105.82,48.77,-105.58,,,PUB
197204,21,1515,197204,21,1515,,10055983,MISSOURI,29,1972,April,Tornado,C,93,IRON,,4/21/1972 15:15,CST,4/21/1972 15:15,4,0,0,0,25K,0,,0,,,,F2,5.7,50,,,,,0,,,0,,,37.35,-90.73,37.38,-90.63,,,PUB
197204,21,1530,197204,21,1530,,10055984,MISSOURI,29,1972,April,Tornado,C,93,IRON,,4/21/1972 15:30,CST,4/21/1972 15:30,0,0,0,0,25K,0,,0,,,,F2,5.1,50,,,,,0,,,0,,,37.38,-90.63,37.42,-90.55,,,PUB
197203,3,1145,197203,3,1145,,10039616,MARYLAND,24,1972,March,Tornado,C,21,FREDERICK,,3/3/1972 11:45,CST,3/3/1972 11:45,0,0,0,0,250K,0,,0,,,,F1,1,100,,,,,0,,,0,,,39.42,-77.42,,,,,PUB
197204,15,1937,197204,15,1937,,10125375,TENNESSEE,47,1972,April,Tornado,C,47,FAYETTE,,4/15/1972 19:37,CST,4/15/1972 19:37,0,0,0,0,0K,0,,0,,,,F1,0.3,50,,,,,0,,,0,,,35.03,-89.4,,,,,PUB
197204,21,1515,197204,21,1515,,10125376,TENNESSEE,47,1972,April,Tornado,C,187,WILLIAMSON,,4/21/1972 15:15,CST,4/21/1972 15:15,3,0,0,0,250K,0,,0,,,,F1,1.5,50,,,,,0,,,0,,,35.93,-86.87,,,,,PUB
197204,21,1825,197204,21,1825,,10125377,TENNESSEE,47,1972,April,Tornado,C,157,SHELBY,,4/21/1972 18:25,CST,4/21/1972 18:25,0,0,0,0,0K,0,,0,,,,F1,0.3,20,,,,,0,,,0,,,35.12,-89.72,,,,,PUB
197204,21,1830,197204,21,1830,,10125378,TENNESSEE,47,1972,April,Tornado,C,183,WEAKLEY,,4/21/1972 18:30,CST,4/21/1972 18:30,1,0,0,0,2.5K,0,,0,,,,F1,1.3,7,,,,,0,,,0,,,36.5,-88.73,36.5,-88.72,,,PUB
197204,21,2005,197204,21,2005,,10125379,TENNESSEE,47,1972,April,Tornado,C,99,LAWRENCE,,4/21/1972 20:05,CST,4/21/1972 20:05,6,0,0,0,250K,0,,0,,,,F3,20.6,200,,,,,0,,,0,,,35.13,-87.53,35.28,-87.22,,,PUB
